12587008
/m/02wwwky
/m/02wwwky
Timothy Zahn
1985
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
2016 1
a 11
ability 1
absorbs 1
actually 1
after 1
alien 3
all 2
alleviate 1
allows 1
amounts 1
an 2
and 9
any 1
anything 1
aplenty 1
are 4
astra 3
atomically 1
attempt 1
author 2
available 1
based 1
be 3
because 1
becomes 2
being 1
bent 1
between 3
bond 1
bootstrapping 1
briefly 1
by 3
cable 6
civilian 1
code 1
colonists 3
commonwealth 1
conclude 1
conflicts 1
could 1
craft 1
ctencri 1
culture 1
decided 1
depicted 1
derives 1
describes 1
designed 1
destroyed 1
device 2
devoid 1
dirtball 1
disappearance 1
disappeared 1
discovers 1
disguise 1
divided 1
dolphins 1
dormant 1
dyson 1
earth 3
economy 1
englobed 1
epilogue 1
equipment 1
eu 1
exists 1
expedition 2
explain 1
extinct 1
fact 1
factory 1
ferengi 1
find 1
finding 1
foolhardy 1
for 3
form 1
found 1
from 1
further 1
galaxy 1
giant 1
great 1
ground 1
habitable 1
had 1
have 1
his 1
home 1
honour 1
hopes 1
huge 1
humour 1
in 7
inhabitable 1
interstellar 1
into 2
introduces 1
involved 1
is 3
it 1
its 2
itself 1
jockeying 1
jokes 1
klingons 1
lack 1
latter 1
launched 1
launches 1
leading 1
lies 1
life 1
literally 1
looming 1
main 1
marine 1
material 2
merchants 1
metal 1
metals 1
military 1
most 1
mzarch 1
new 1
newly 1
not 2
novel 3
of 18
on 3
once 1
one 1
only 1
or 1
orbit 1
orspham 1
other 1
out 1
outlet 1
over 1
overpopulation 1
parts 1
planet 1
pom 1
popular 1
population 1
practical 1
proceedings 1
project 1
question 1
race 4
races 3
recovered 1
red 1
reminiscent 1
resembling 1
resourceless 1
rights 1
rooshrike 1
sake 1
sales 1
same 1
scientists 2
sent 1
set 1
several 2
ships 1
shrewd 1
some 1
somehow 1
soon 2
spectrum 1
sphere 1
spinner 2
spinneret 1
spinners 3
star 2
states 1
strength 1
stuck 1
such 1
superconductive 1
tableau 1
taken 1
tensile 1
than 1
that 2
the 45
their 2
then 1
they 3
this 4
thought 1
timothy 1
title 1
to 12
touches 1
trek 1
turns 1
un 1
unexplainable 1
united 1
unknown 1
unlike 1
unsuccessful 1
upon 1
us 1
used 1
vanishing 1
volcano 1
war 3
warrior 1
was 2
were 1
what 3
which 1
while 1
whissst 1
who 1
whole 1
whose 1
why 2
with 8
world 3
worlds 2
year 1
zahn 2
