408735
/m/024s_f
/m/024s_f
Alastair Reynolds

000 1
107 1
150000 1
17 1
23 1
2615 1
2675 1
268 1
2727 1
3125 1
40 1
a 26
abandon 1
ability 1
about 3
absorb 1
acceleration 1
across 2
actually 3
advised 1
advises 1
after 6
against 1
agent 1
agrees 5
aid 1
aided 1
alien 2
allegedly 1
also 3
although 1
amongst 2
an 5
ana 1
and 37
ararat 2
are 12
areas 1
ark 1
arrives 2
artifacts 1
as 15
ascension 1
asking 1
asks 1
assimilated 1
at 3
attacked 2
attacks 1
attempt 1
attempting 1
aura 10
automated 1
available 1
away 1
back 1
battle 1
be 5
become 1
been 8
before 4
begins 1
behavior 1
being 3
believes 1
between 1
blinds 1
board 1
book 2
both 1
brane 1
brannigan 4
breaks 1
bridge 1
bring 1
brother 1
build 1
bulk 1
but 10
by 11
cache 1
called 2
can 3
capsule 2
captain 1
caravans 1
cathedral 3
cathedrals 5
causing 1
certain 1
chance 1
change 1
charge 1
charts 1
check 1
church 1
clavain 4
cleanse 1
clothing 1
collect 1
colonists 1
colony 3
colored 1
come 1
coming 1
competent 1
composed 1
conjoiner 1
constantly 1
consumed 1
contained 1
contaminated 1
control 1
convince 1
corpse 1
could 1
cover 1
crashed 1
crashes 1
created 1
crew 4
cryoarithmetic 1
data 1
daughter 1
dead 1
death 1
debate 2
decide 2
decides 1
decision 1
defeat 1
defeats 1
defend 1
defense 1
delegates 1
deliberation 1
deploys 1
deprivation 1
described 1
despite 1
destroy 3
destroyed 2
destroys 1
detect 1
device 1
dies 1
digital 1
disappear 1
disappearances 1
disappointed 1
discover 2
discovers 1
disputes 1
do 5
does 1
doing 2
done 1
down 1
due 1
echelons 1
electing 1
els 1
ends 1
engines 2
enough 1
enters 1
entirely 1
envoy 1
epilogue 2
escape 1
eternally 1
evacuate 1
evacuated 1
evacuating 1
events 2
eventually 1
every 2
evidence 1
exactly 1
exempt 1
exist 1
explore 1
explored 1
extent 1
exterior 1
extremely 1
fact 3
failed 1
faith 1
falling 1
false 1
fazil 1
felka 1
few 1
filled 1
final 1
find 1
finds 1
first 1
for 10
forced 1
fortunes 1
found 3
four 2
fourteen 1
fractions 1
from 8
galactic 1
galaxy 1
galiana 1
gas 1
get 1
getting 1
giant 1
girl 1
give 1
gives 2
gnostic 1
go 1
greater 1
green 1
greenfly 4
grelier 2
group 1
guardian 2
habitats 1
had 4
hades 1
haldora 6
happened 1
harbin 2
has 16
have 3
he 17
hela 9
help 1
her 12
hide 1
him 13
his 7
hold 1
holds 1
home 1
hostage 2
hour 1
how 1
however 4
human 1
humanity 4
humans 3
hundred 1
husband 1
hyperpig 1
hypometric 1
ice 1
improve 1
in 27
indoctrinal 1
infinity 2
informs 1
inhabitants 1
inhibitor 1
inhibitors 8
instead 1
interested 1
into 2
invoke 1
is 18
it 9
its 8
jasmina 2
join 2
joins 1
juggler 1
jugglers 2
keep 1
kept 1
khouri 6
kidnapped 1
killed 2
killing 1
known 3
lands 1
last 3
late 1
latter 1
lead 1
leaders 3
leadership 1
leading 1
leave 3
leaves 2
leaving 1
left 2
legs 1
lighthugger 2
lighthuggers 1
longextinct 1
longlost 1
lover 1
lying 1
machine 1
machinery 2
machines 1
made 2
magnify 1
mainstream 1
maintain 1
makes 2
making 1
malfunction 1
man 2
manifest 1
many 1
massive 1
matches 1
material 1
matrix 1
maximum 1
meanwhile 2
mechanism 1
meet 1
member 1
milky 1
minor 1
modified 1
moon 1
moons 1
more 2
morwenna 2
move 1
moving 1
mutiny 1
name 1
names 1
nave 1
need 1
nestbuilder 1
nestbuilders 3
nevil 1
next 1
nightmares 1
north 1
nostalgia 2
not 5
nothing 1
novel 4
now 3
object 1
observe 1
ocean 1
of 29
off 1
offers 1
often 1
old 1
older 1
on 10
one 5
ones 1
onto 1
open 1
opening 1
or 3
orbited 1
origins 1
other 3
our 1
out 6
outlines 1
over 1
overrun 1
overturned 1
overwhelm 1
own 1
oxygen 1
panics 1
parallel 1
paralyzes 1
passenger 1
pattern 3
people 2
periods 1
permanent 1
permit 1
picked 1
piscium 1
place 1
planet 2
planets 1
pleiades 1
plot 1
point 1
power 1
preparing 1
presence 1
prison 1
problem 1
programmed 1
progress 1
prologue 1
promises 1
propulsion 1
protect 1
protection 1
protector 1
protects 1
quaiche 9
queen 1
race 3
races 1
radio 1
rashmika 5
reach 1
reaches 1
