853877
/m/03hdvf
/m/03hdvf
V.S. Naipaul
1979
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 34
about 2
administration 1
adulterous 1
advisor 1
affair 1
affront 1
africa 8
african 4
africans 2
after 5
afterwards 1
again 1
agencies 1
agricultural 1
all 2
although 1
always 1
american 1
among 1
an 6
ancestors 1
and 34
another 1
any 1
appear 1
are 3
army 2
arrival 1
arrive 1
arrives 2
as 5
asks 1
assailants 1
assistant 1
at 3
attached 1
attack 1
attempts 1
attends 1
barge 1
battle 1
be 1
because 3
become 4
becomes 1
becoming 2
been 3
before 1
being 1
belgian 1
bemoans 1
bend 1
betrayed 1
between 1
big 2
bigburger 1
black 1
bones 1
book 2
breaks 2
brief 1
buildings 1
built 1
bush 1
business 3
businessmen 1
but 4
buy 1
buys 1
by 9
calls 1
canada 1
capital 2
capitalistic 1
cares 1
center 4
changes 1
charge 1
chauffeur 1
city 1
coast 3
collection 1
collects 1
colonial 1
comes 1
commissioner 1
community 2
conference 1
considered 1
continues 1
converted 1
corruption 1
country 3
cult 1
customers 1
daughter 1
decision 1
decrepit 1
denounced 2
departs 1
develops 1
displayed 1
displeases 1
disrepair 1
distance 1
distinctions 1
distribution 1
domain 4
down 2
drifts 1
during 2
each 2
east 5
educated 1
either 1
engaged 1
england 1
enter 1
ethnically 1
european 3
eventually 1
every 1
everybody 1
everywhere 1
execution 1
experience 1
expropriated 1
extortions 1
eyes 1
falls 1
family 2
father 2
fear 2
feeling 1
feels 1
ferdinand 5
finally 1
finds 2
first 1
five 1
for 5
forced 1
forest 1
former 1
forms 1
found 1
four 1
franchise 1
free 1
friends 1
from 4
full 1
future 1
get 1
gets 1
getting 1
ghost 1
go 1
goes 1
going 1
gold 1
government 1
grew 1
group 1
growing 1
grows 2
had 4
has 8
have 1
having 1
he 18
heart 1
hell 1
help 1
her 2
hidden 1
him 5
himself 1
his 16
hitting 1
hoax 1
home 1
honest 1
hope 1
hoping 1
house 1
household 1
huismans 2
humiliation 1
ignorant 1
important 1
improving 1
in 27
indar 2
independence 1
indian 4
insecure 1
instead 1
institution 1
interior 1
into 2
intrigued 1
is 26
it 7
its 4
ivory 2
jail 1
joined 1
kidnap 1
killed 2
knowledge 1
knows 1
lack 1
landed 1
landlord 1
last 1
later 1
laws 1
lazy 1
learns 2
leave 1
leaves 1
lecturer 1
left 2
legs 1
liaison 1
liberation 1
life 2
like 1
limited 1
lines 1
live 1
lived 1
local 5
locals 1
london 2
long 1
looks 1
loose 1
lost 1
lover 1
loyal 1
lyce 1
madonna 1
magician 1
mahesh 1
maintained 1
malins 1
man 4
manager 1
many 1
marchande 1
masks 2
maximes 1
meaning 1
meet 1
meets 1
men 1
mentor 1
mercenaries 1
merchants 1
metty 3
more 1
most 1
move 1
moved 3
moves 1
much 2
muslim 1
narrated 1
nazruddin 3
need 1
never 1
new 6
night 1
no 3
nobody 1
not 2
nothing 1
now 4
observes 1
of 36
old 1
on 7
one 2
or 2
order 1
others 1
out 3
outside 1
outsider 1
page 1
pans 1
paper 1
party 1
peace 1
pencils 1
people 1
persecuted 1
persecution 1
pillages 1
place 2
please 1
poachers 1
portrait 1
pots 1
power 1
presented 1
president 7
presidents 2
prevalent 1
prey 1
priest 1
products 1
program 1
propaganda 1
property 1
prostitutes 1
protagonist 1
publishes 1
put 1
quickly 1
radicalization 1
rage 1
rapaciousness 1
rapid 1
raymond 3
raymonds 2
rebellion 1
rebels 1
recalled 1
reclaimed 1
recognizes 1
region 1
reject 1
religion 1
remote 1
repelled 1
response 1
restore 1
result 1
retains 1
return 1
returned 1
returning 1
richest 1
right 1
river 2
ruined 1
run 1
safe 1
safety 1
salems 1
salesmen 1
salim 19
salims 1
says 1
section 1
secure 1
security 1
set 1
sets 1
ship 1
ships 1
shoba 1
shoddy 1
shopkeeper 1
showcase 1
slaves 1
slowly 1
small 2
snapped 1
sold 1
some 2
son 1
soon 4
speeches 1
spitting 1
spring 1
stack 1
state 2
steady 1
steamer 2
students 1
study 1
suburb 1
successful 2
supervise 1
suppression 1
takes 2
telling 1
tells 1
that 5
the 68
their 2
then 2
there 5
they 3
thieves 1
this 1
thotime 1
thought 1
thoughts 2
three 1
times 1
to 32
too 1
town 7
tractors 1
traders 1
trades 1
trading 1
training 1
transferred 1
travels 1
tribal 1
tribe 1
trip 1
trustee 1
truthful 1
try 1
two 1
uganda 1
under 1
underground 1
university 1
unknown 1
unnamed 1
unrest 1
up 4
upon 1
utensils 1
various 1
very 1
vestiges 1
victim 1
village 1
villages 1
vindicated 1
vision 2
visited 1
visitor 1
visitors 1
want 1
was 1
way 1
went 1
were 2
what 2
when 2
where 1
white 1
who 4
whose 1
wife 1
with 6
women 1
work 1
write 1
yet 1
yettobedetermined 1
younger 1
youth 1
yvette 3
zabeth 2
