854386
/m/03hgrp
/m/03hgrp
Jean Rhys
1966-10
{"/m/02p0szs": "Historical fiction", "/m/01qxvh": "Romance novel", "/m/0fr3y1": "Parallel novel"}
1833 1
a 3
added 1
adventures 1
after 1
again 1
aggravates 1
already 1
also 1
alternates 1
an 1
and 6
antoinette 9
arranged 1
as 8
be 1
become 1
becomes 1
begin 1
belief 1
believes 1
bertha 3
between 1
both 1
boyd 1
britishowned 1
brother 1
by 2
calls 1
catalysts 1
childhood 2
christophine 1
come 1
consciousness 1
constant 1
conveys 1
cosway 2
coulibri 1
daniel 2
death 1
decides 1
descends 1
describing 1
destiny 1
disabled 1
disappointment 1
disintegrating 1
dominica 1
downfall 1
each 1
emancipation 1
empty 1
england 1
englishman 1
even 1
eventually 1
experience 1
eyre 2
facets 1
failing 1
following 1
for 1
from 4
fuelled 1
further 1
grace 1
granbois 1
great 1
guarding 1
he 4
her 16
hides 1
house 1
husband 2
implied 1
in 8
includes 1
increased 1
instability 1
into 2
is 7
it 3
jamaica 2
jane 2
known 1
less 1
life 3
likely 1
lives 1
machinations 1
madness 1
making 1
mansion 1
marriage 3
mental 2
mentally 1
mistrust 1
more 2
mother 1
mr 1
narrated 1
narrating 1
novel 3
now 1
nurse 1
of 15
off 1
old 1
once 1
one 2
only 1
opening 1
other 2
own 1
paranoia 1
part 4
parts 1
perspective 1
place 1
points 1
precarious 1
progress 1
promises 1
protagonist 1
relationship 3
relationships 1
relative 1
renames 1
rochester 4
see 1
sense 1
servant 1
set 2
several 1
she 4
short 1
shortest 1
situation 1
slaves 1
split 1
state 1
story 1
stream 1
such 1
supposed 1
suspicion 1
take 1
takes 1
tasked 1
the 21
their 3
they 1
this 1
three 2
tinged 1
to 7
traces 2
tragic 1
two 1
unbalances 1
unfaithful 1
unnamed 1
unwavering 1
view 2
when 1
which 3
while 1
who 1
whom 1
with 8
women 1
world 1
