6755380
/m/0gmb5l
/m/0gmb5l
Alistair MacLean
1966
{"/m/01jfsb": "Thriller", "/m/05hgj": "Novel"}
8 1
a 1
aboard 1
after 1
agent 1
agents 1
all 1
allies 1
also 1
anchored 1
and 10
anthony 1
are 1
arnfordjason 1
arthur 2
as 5
at 1
bad 1
battle 1
be 1
been 1
boards 1
boss 1
british 1
bullion 1
bureaucracy 1
by 2
calvert 5
cargo 1
carrying 1
characters 1
charlotte 1
chief 1
concerns 1
continue 1
cover 1
crime 1
cynical 1
cypriot 1
doublecrosses 1
finds 1
firecrest 1
first 1
five 1
for 3
forces 1
frantic 1
gold 1
guys 1
have 1
he 1
hero 1
highlands 1
hijacked 1
hijackers 1
hijacking 1
him 2
his 2
hold 1
honorable 1
hostages 1
in 3
introduction 1
investigate 1
irish 1
is 6
island 1
isle 1
isles 1
joined 1
known 1
last 1
latest 1
locals 1
lochs 1
luxury 1
maclean 2
magnate 1
make 1
manages 1
million 1
mull 1
murdered 1
must 1
nantesville 1
narrates 1
night 1
not 1
of 7
on 2
operating 1
out 1
over 1
page 1
patterned 1
phillip 1
planted 1
plot 1
port 1
reader 1
remote 1
scottish 1
sea 2
search 1
secret 1
seem 1
sent 1
shangrila 1
ship 2
shipping 1
ships 1
sir 2
skouros 2
sleepy 1
solve 1
some 1
sometimes 1
story 2
suspect 1
takes 1
the 21
they 2
to 7
tobermory 1
torbay 3
town 1
track 1
treasury 1
turns 1
twists 1
two 1
typical 1
ultimately 1
uncle 1
under 1
unlikely 1
usual 1
very 1
well 1
who 1
whose 1
wife 1
with 1
worldweary 1
yacht 2
yet 1
