19771967
/m/04q3mf7
/m/04q3mf7
Tahir Shah
2008
{"/m/014dsx": "Travel", "/m/017fp": "Biography"}
a 16
across 1
almost 1
also 1
an 1
and 13
anyone 1
anything 1
are 5
as 4
at 1
attached 1
author 1
away 1
baton 1
becomes 1
benares 1
berber 1
burton 1
but 1
by 2
caf 1
can 1
cast 1
characters 1
children 1
clandestine 1
collects 1
contain 1
culture 1
dont 1
door 2
each 2
edition 1
encounters 1
entertaining 1
events 1
family 2
father 3
fez 1
first 2
for 4
forget 1
fragments 1
frequents 1
from 1
gateway 1
get 1
gift 1
given 1
gleaned 1
had 1
has 2
have 1
he 5
hears 1
heart 1
heritage 1
high 1
him 1
himself 1
his 5
home 1
hospitality 1
how 1
ideas 1
idries 1
if 1
in 3
including 1
information 1
insistence 1
insists 1
interwoven 1
into 1
is 2
it 4
item 1
journeys 1
junk 1
kingdom 1
know 1
labyrinthine 1
listens 1
mabrook 1
makes 1
marrakech 1
matrix 1
medinas 1
men 1
merchant 1
moroccan 1
moroccans 1
morocco 3
narrative 1
nights 2
nothing 1
now 1
obtain 1
of 15
on 2
once 1
one 2
oral 1
ordinary 1
oriental 1
out 2
own 1
passes 1
payment 1
person 1
professional 1
protect 2
raconteurs 1
really 1
recollection 1
recounted 1
requests 1
resources 1
reveal 1
richard 1
root 1
sahara 1
salesman 1
sands 1
searches 1
sees 1
sells 1
shah 7
stories 1
story 1
storytellers 2
storytelling 1
substratum 1
tale 2
tales 3
tastes 1
tell 1
that 4
the 17
their 1
then 1
thinking 1
thousand 3
through 2
to 8
told 1
tradition 2
traditional 1
translation 1
transmitted 1
traverses 1
treasury 1
unchanged 1
undervalued 1
us 1
values 1
vastly 1
visits 1
vivid 1
want 1
wares 1
way 2
we 2
weaving 1
well 1
when 1
which 3
who 3
will 1
wisdom 1
with 1
within 1
world 1
years 1
you 2
