32348569
/m/0gyvy1x
/m/0gyvy1x
Patricia A. McKillip
2006-02-07
{"/m/01hmnh": "Fantasy"}
a 3
able 1
after 1
ancestral 1
and 2
as 1
away 1
bookseller 1
border 1
but 1
california 1
changeling 1
comfortable 1
courageous 1
cousin 1
cross 1
died 1
fails 1
fairy 1
family 1
fay 1
for 1
from 2
funeral 1
grandfather 1
has 2
her 3
hero 1
herself 1
him 1
home 1
house 1
in 1
into 1
is 4
it 1
kidnapped 1
life 1
like 1
lynn 1
magic 1
melior 1
new 1
of 1
old 1
only 1
other 1
part 1
peace 1
protecting 1
realm 1
receiving 1
relative 1
reluctantly 1
replaced 1
rescue 1
return 1
returns 1
rois 1
rose 1
she 1
sylva 3
that 1
the 7
their 2
to 4
when 1
who 2
winter 1
with 1
word 1
york 1
