8175996
/m/026v9gg
/m/026v9gg
Ann Brashares
2007-01-09
{"/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction"}
a 22
abandoned 1
about 3
accepts 1
accidentally 1
acclaimed 1
acting 1
actions 3
admits 1
after 9
agree 1
agrees 1
all 3
allow 1
allowed 1
almost 1
already 1
also 1
although 1
always 2
an 2
and 53
angry 1
anonymous 1
another 1
antisocial 1
antithesis 1
anyone 1
apartment 1
apologize 1
apologizes 1
apparently 1
appearance 1
appears 1
archaeological 2
arms 1
artist 1
artists 1
as 3
ask 1
asks 1
at 18
attempts 1
attend 1
attendants 1
attracted 1
auditioning 1
avoid 1
back 3
basement 1
be 4
beauty 1
became 1
becomes 5
been 2
before 1
begins 5
begun 1
being 1
better 1
birthday 1
body 1
bond 1
both 4
bothered 1
boxes 2
boyfriend 2
breaking 1
breakup 1
brian 10
bridget 7
brother 2
build 1
but 5
by 4
calls 1
camp 2
carefully 1
cares 2
carmen 11
celebrate 1
changes 1
child 1
choosing 1
class 2
classmates 1
clearly 1
closer 1
coach 1
coldness 1
college 3
colour 1
comes 1
coming 1
community 1
comparison 1
confidence 1
connection 1
content 1
convinces 1
coveted 1
cries 2
cultivate 1
darken 1
dated 1
day 3
days 1
death 1
depressed 1
despite 3
dig 1
dinner 1
discovered 1
discovers 1
disgusted 1
diva 1
divorced 1
do 1
does 1
doesnt 1
dorm 2
doubts 1
drama 2
draw 1
drink 1
drunk 1
due 1
each 2
early 1
effie 3
else 1
end 2
ends 1
enjoy 1
enjoys 1
enthusiastic 1
equally 2
eric 6
especially 1
even 2
evening 2
everything 1
evident 1
examining 1
expecting 1
extra 1
extreme 3
exuberant 1
fall 2
family 5
father 3
fear 1
feel 1
feelings 4
few 1
figure 1
filled 1
find 4
finds 3
first 5
floor 1
flustered 1
following 2
for 20
forward 1
freshman 2
friends 2
friendship 2
friendshipjulia 1
from 2
general 1
get 4
gets 1
getting 1
girls 2
glamorous 1
goes 2
gone 1
good 1
grandmother 1
greece 3
greek 1
grow 1
grows 1
had 4
handsome 1
happiness 2
has 5
have 2
havent 1
having 1
he 13
her 54
here 1
herself 2
him 7
his 11
home 2
hopes 1
house 3
how 1
however 6
identity 2
if 2
immensely 1
impulsively 2
in 32
indicates 1
instead 1
interested 1
into 3
invites 2
is 17
it 8
jealous 1
job 1
join 1
julia 8
just 1
keep 1
kids 1
kiss 2
kisses 1
kissing 1
know 1
known 1
kostos 8
lands 1
largest 1
last 1
late 1
later 6
leads 1
learn 1
leaves 1
leaving 1
left 1
lena 15
leo 9
leonardo 1
level 1
lied 1
lies 1
limitations 1
longs 1
longterm 1
look 1
loses 1
loss 2
love 5
loves 1
maintain 3
maintained 1
make 5
may 2
meaning 1
meanwhile 1
meets 3
mementos 1
mexico 1
might 1
mind 1
misery 1
missed 2
missing 1
mistake 1
moderately 1
modified 1
more 2
morning 1
most 2
mother 4
moving 1
much 1
never 3
new 4
news 1
next 3
night 2
no 1
not 8
nude 1
nyu 1
ocean 2
of 19
off 1
offer 1
oia 1
on 7
once 1
one 6
only 3
order 1
organized 1
original 1
other 4
out 2
outshines 1
over 5
overcome 1
overjoyed 1
painstakingly 1
painter 1
painting 3
paintings 1
pants 5
part 3
patches 1
perdita 1
performed 2
performs 1
persist 1
person 1
peter 4
planning 1
play 3
plays 2
popularthe 1
pose 2
poses 1
pregnancy 2
pregnant 2
preserved 1
professional 1
professor 1
program 1
progress 1
propose 1
put 1
quickly 1
rather 1
realization 1
realize 1
realizes 6
realizing 2
regain 1
regains 1
relationship 5
rely 1
resident 1
resume 1
returning 1
returns 2
reveals 1
risd 1
role 3
room 2
ruined 1
runs 1
sake 1
saw 1
say 1
says 2
scare 1
school 2
scriptwriting 1
searching 1
secondguess 1
seeing 1
sees 2
self 1
selfproclaimed 1
sentiment 1
session 2
sets 2
shakes 1
shakespeare 1
she 41
shock 1
shortly 1
shows 1
shyness 1
signs 1
sister 2
situations 1
skill 1
slightly 1
small 1
so 2
social 3
some 2
someday 1
something 3
soon 2
sophisticated 1
sorry 1
spend 2
spending 1
standings 1
starring 1
staying 1
stays 1
still 2
strict 1
struggle 1
successfully 1
sudden 1
suggests 1
summer 9
take 2
taken 1
takes 1
taking 1
tale 1
talked 1
team 1
tells 5
tempted 1
than 1
that 31
the 60
their 10
them 3
themselves 2
these 1
they 18
things 1
thirtieth 1
this 2
thought 1
tibby 7
time 2
to 57
together 3
transferred 1
transferring 1
transparency 1
travel 1
traveling 1
tries 1
trip 1
truly 2
try 1
trying 1
turkey 2
turn 1
two 2
unable 1
uncomfortable 2
unearthing 1
unworthiness 1
up 4
upbringing 1
upon 1
upset 2
us 1
very 2
visit 1
visits 2
vow 1
waiting 1
want 1
wants 3
was 1
way 2
ways 2
week 1
well 1
went 1
what 1
when 6
where 1
whereas 1
which 1
while 2
who 3
widely 1
wife 2
will 3
williams 1
win 1
winter 1
wishing 1
with 17
withdrawn 1
wonderfully 1
word 1
work 6
worry 1
would 2
year 3
yells 1
young 1
younger 2
