5419833
/m/0dl1ck
/m/0dl1ck
Gary Russell

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
3 1
a 16
able 2
about 1
absorbed 2
across 1
acting 1
action 1
activities 2
advance 1
after 1
agents 2
alien 1
all 1
also 3
ambassador 1
an 6
analyse 1
and 45
andromeda 1
antidote 1
anyone 1
apologises 1
are 10
around 1
arrange 1
arrest 1
arrive 1
arrives 1
arriving 1
artificial 2
as 3
assassinate 1
assassins 2
associates 1
at 1
athletes 3
attached 1
attack 3
attempting 2
attend 1
auckland 2
aucklands 1
autopsy 1
await 1
away 1
back 1
be 3
become 1
becomes 2
becoming 1
been 7
before 1
being 1
beliefs 1
believe 1
believed 1
believes 2
beneath 2
betrayal 1
better 1
between 1
blackmail 1
body 2
bodysuit 1
bomb 1
both 1
building 1
but 7
by 12
call 1
called 1
camp 1
can 1
cannon 1
carrington 5
carry 1
ceremony 1
chalfont 3
chase 1
church 4
clear 1
come 1
commander 1
compete 1
computers 1
confronts 1
confusion 2
connected 1
consorting 1
conspirators 1
conspiring 1
contain 2
coordinator 1
corp 3
corporation 1
course 1
courtmartial 1
cover 1
creatures 1
criminal 1
curiosity 1
dale 1
dallion 3
danger 1
dark 10
dead 1
deceived 1
decides 2
defense 1
despite 1
determine 1
determines 1
dilutes 1
directs 1
discover 1
disguise 1
disrupted 1
disruption 1
distraction 1
distributing 1
doctor 10
dr 1
drive 1
drug 3
drugs 3
duchess 4
during 1
electrocute 1
emerge 1
ensuing 1
enters 1
entourage 1
escape 1
escaped 1
events 1
eventually 3
executes 1
expenses 1
explanation 1
explosion 1
extra 1
facilities 1
fact 2
faints 1
federation 1
find 1
fingers 2
foamasi 5
follower 1
followers 3
followerswho 1
follows 2
for 10
forbidden 1
forgives 1
formula 1
forward 2
found 1
friends 1
from 3
fully 2
galaxy 4
games 1
get 1
gives 1
goddess 4
going 3
good 1
green 2
greenpeace 1
guests 1
hacks 1
happens 2
has 7
have 4
he 4
head 1
hed 2
her 9
hes 2
him 5
himself 3
his 10
hive 1
home 1
hosting 1
however 1
ice 1
ideals 1
impersonation 1
impersonator 1
impression 1
in 16
infected 1
infiltrate 1
infiltrating 1
informs 2
instantly 1
instinct 1
intelligent 1
intend 1
intends 1
interspecies 1
into 10
intrigued 1
investigate 2
investigates 1
investigating 1
investigation 3
involved 1
involves 1
is 12
it 5
itinerary 1
journalist 1
just 3
kidnapped 1
kill 1
killed 2
kyle 5
labs 1
larvae 5
later 1
leads 2
learn 3
learned 1
learns 2
leaving 1
leeway 1
left 1
lighting 1
lodge 5
lodges 2
loose 1
losing 1
lukas 4
made 1
manage 1
manufacture 1
many 1
marriage 1
mason 5
members 2
men 1
message 1
micawbers 4
might 1
miles 1
mind 1
missing 2
months 1
more 1
most 2
ms 5
murder 2
murdered 1
mutagenic 3
mystery 1
nest 1
never 1
nobody 1
not 2
notices 1
obtain 1
occasion 1
of 34
off 3
olympic 1
olympics 2
on 8
onehour 1
ordering 1
other 2
out 3
own 2
owned 1
passing 1
passionate 1
patriarch 1
patrol 2
pays 1
peaks 10
peeved 1
performanceenhancing 1
period 1
picked 1
place 1
placebos 1
planet 2
planets 1
plants 1
pocket 1
podium 1
power 1
previously 1
process 1
prove 1
provide 1
purity 1
put 1
queen 3
racial 1
rally 1
rather 1
ready 1
realizes 3
recover 1
recovering 1
remain 1
remaining 2
rescued 1
reverend 2
rewire 1
ritchie 3
ritchies 2
rivalry 1
sam 7
sample 1
sams 1
saving 1
search 1
security 4
seem 1
seen 1
send 1
sends 2
sergeant 2
set 2
sets 1
she 3
shortly 1
shuttle 1
signal 1
simply 1
slightly 1
slowly 1
smugglers 1
snubbed 1
so 2
some 3
son 2
source 1
sox 5
space 2
speaks 1
spontaneously 1
spread 2
spreading 2
squad 1
ssard 1
sss 3
stacy 1
start 1
steal 1
stories 1
story 2
sumner 3
suns 1
surface 2
survive 1
sycophantic 1
synthesizes 1
tags 1
taint 1
take 1
taken 1
takes 3
talon 1
targeted 1
team 1
telepathic 2
terror 1
than 2
thanks 1
that 15
the 110
their 7
them 6
themselves 2
then 1
theres 1
they 6
theyre 1
those 1
threeyear 1
through 1
throughout 3
thus 2
timerelease 1
to 36
together 1
took 1
townsend 1
transform 3
transformed 2
transforming 1
travelled 1
trick 1
troopers 1
troops 2
truth 1
tunnels 7
twin 1
two 1
under 1
unknown 1
up 2
useful 1
using 1
vanishes 1
visiting 1
wants 1
warning 1
warrior 1
was 1
way 2
wedding 3
what 1
whats 2
when 1
where 1
which 2
while 2
who 13
wife 2
will 4
wirrrn 14
wirrrnalthough 1
with 10
without 1
word 3
work 1
working 1
world 4
would 1
xenobiologist 1
yet 1
young 1
