6833875
/m/0grnw5
/m/0grnw5
Terry Brooks
1987-10
a 15
abernathy 4
able 3
about 1
acknowledges 1
across 1
admits 1
against 1
ago 2
air 1
alone 1
along 1
already 1
an 4
ancient 1
and 32
animal 1
another 1
appear 1
appears 3
apprehended 1
are 2
army 1
arrange 1
arrives 1
as 7
at 1
attack 1
attacked 1
attempt 1
away 1
back 2
battle 2
battlefield 1
battles 1
becoming 1
been 2
before 1
ben 20
bennett 1
between 2
binding 1
bites 1
black 8
bodies 1
book 1
books 6
break 2
bridle 7
brief 1
bringing 1
burned 1
but 1
by 5
can 2
captives 1
capture 2
captured 2
castle 3
casts 1
cat 3
cats 1
charges 1
chicago 2
clothing 1
come 1
common 1
company 1
confused 1
confusion 1
conquering 1
containing 1
conversation 1
convince 2
court 2
created 1
creature 1
creatures 1
cryptic 1
dashes 1
deep 2
delivering 1
determining 1
devolves 1
dirk 4
disappears 1
discovers 1
disguise 1
down 1
dragon 4
dream 1
dreams 5
drop 1
each 2
earth 2
edgewood 2
edgwood 1
encounter 1
encounters 2
enlists 1
enters 1
epilogue 1
erupts 1
escape 1
events 1
eventually 1
evicted 1
evil 1
exiled 1
explosive 1
failing 2
fails 1
fairy 2
faith 1
father 1
fell 2
filip 1
filled 1
finally 2
find 1
finds 2
fine 1
firefight 1
flees 1
for 5
former 1
found 1
free 1
friends 1
from 8
furious 1
ghome 1
given 1
glamour 1
gnomes 1
golden 2
gone 1
great 1
had 1
halfdog 1
harness 1
harnessed 1
has 8
have 3
having 1
he 4
help 3
her 4
herself 1
hidden 1
high 1
him 6
his 13
holiday 1
hoping 1
hurries 1
identity 3
if 1
illustrations 1
imprisoning 1
imps 1
in 14
inability 1
indeed 1
infuriates 1
inside 1
instead 1
intense 1
into 7
intruder 1
investigate 1
is 11
it 3
keep 1
king 2
lair 2
landover 3
last 2
later 1
launch 1
law 1
leaving 1
leg 1
location 1
long 1
longer 1
love 1
magic 6
magician 1
make 1
making 1
manifesting 1
master 1
meadow 2
meanwhile 1
meek 1
meeks 11
meeting 2
miles 2
misgivings 1
missing 1
mother 1
motion 1
mounts 1
multitude 1
nature 1
night 1
nightshade 5
no 1
occasionally 1
of 22
off 1
old 2
on 1
one 3
onlookers 1
only 1
opportunity 1
originally 1
other 1
out 1
over 1
overcome 1
own 1
paladin 2
partner 1
party 1
peasant 1
peoples 1
persuade 1
possession 2
power 1
prevent 1
price 1
prism 2
prisoners 1
prompting 1
prophetic 1
questor 6
recapture 1
recognize 2
regain 1
releasing 1
rescue 1
restore 1
retrieve 1
return 1
returned 2
returning 2
revealed 1
reveals 1
rips 1
river 1
scatter 1
scatters 1
scorched 1
scribe 1
searches 1
seeing 1
seeking 1
seem 1
selfdeception 1
sent 3
set 1
she 2
since 1
situation 1
skeletal 1
small 1
so 1
some 1
song 1
sot 1
spell 1
spirit 1
spirits 1
still 2
stolen 1
stowed 1
strabo 4
streaking 1
streets 1
summoned 1
summons 1
suspicious 1
sylph 1
taunts 1
tells 1
that 14
the 70
their 4
them 2
these 1
thews 1
they 4
thinking 2
this 2
though 1
through 1
thrown 1
time 1
to 29
transports 1
tries 1
trouble 1
true 2
turns 1
two 1
unbeknownst 1
unicorn 11
unicorns 5
unsure 1
up 1
upon 1
useless 1
using 1
vanquished 1
various 1
vivid 1
voices 1
was 1
way 2
well 1
while 2
white 2
who 5
willow 13
witch 3
with 2
wizard 3
wizards 1
wonder 1
words 1
world 3
worlds 1
would 2
