854918
/m/03hjx9
/m/03hjx9
Naguib Mahfouz

a 10
about 1
after 1
again 1
aggressive 1
alinnabi 1
all 1
also 4
aman 4
an 1
and 22
annexation 1
answer 1
approval 1
are 3
army 1
arousa 5
arranges 1
arrives 1
as 8
asks 1
away 1
back 1
be 1
because 1
been 1
before 3
being 1
birth 1
broadens 1
brought 1
buddhist 1
but 1
by 5
camel 1
chamberlain 2
children 3
citizen 1
city 3
civil 1
coexist 1
come 1
completing 1
continue 2
corruption 1
decides 1
demands 1
depths 1
descends 1
desire 1
disillusioned 1
do 1
documents 1
does 1
driven 1
earnestly 1
eldest 1
encourage 1
encouraged 1
encourages 1
ends 1
every 2
exiled 1
exist 1
family 2
far 1
farewell 1
fattouma 18
fight 1
finds 2
finished 1
five 1
for 3
freedom 2
from 8
further 1
gebel 6
ghuroub 2
go 1
godking 2
good 2
greatest 2
had 1
halba 4
halbans 1
hara 5
has 1
have 3
he 10
held 1
him 2
himself 1
his 15
home 2
homeland 1
horizons 1
hospital 1
husband 1
ibn 18
impossible 1
in 11
individual 1
inquiry 1
insistence 1
invading 1
invasion 1
is 11
islam 2
it 1
itself 1
jailed 2
journey 3
just 1
justice 1
known 2
land 7
lands 1
learn 1
learning 1
leaves 1
libertine 1
lies 1
life 2
look 1
lost 1
maintain 1
makes 1
man 1
many 1
married 1
marries 1
marry 1
mashriq 5
meets 1
men 1
militaristic 1
months 1
mother 1
mountain 1
muhammad 1
muslim 1
name 1
named 1
nations 1
neighboring 3
nevertheless 1
next 1
no 2
not 1
obeys 1
of 23
on 1
one 2
openly 1
or 1
order 1
other 3
out 1
over 1
overthrown 1
partners 1
pass 1
peacefully 1
peak 1
pediatrician 1
people 2
perfection 2
philosophy 1
power 1
preparations 1
prepare 1
prevented 1
problems 1
proceeds 1
prohibited 1
promoters 1
qindil 1
questioned 1
reader 1
religions 1
reluctant 1
reunited 1
samia 1
says 1
secret 1
seeing 1
seek 1
seekers 1
seeks 3
separates 1
settles 1
sexual 1
sexually 1
share 3
sight 1
since 2
slave 1
so 1
society 1
solved 1
son 2
spy 1
standards 1
states 1
stop 1
story 1
such 2
suffers 1
sufi 1
teacher 3
teaching 1
tells 1
tenets 1
that 1
the 32
their 3
then 1
there 3
they 4
this 1
thought 1
times 1
to 18
told 1
train 1
travel 4
traveled 1
travels 1
tried 1
twenty 1
ultimately 1
underway 1
upon 1
wants 1
war 3
was 1
when 2
where 1
whether 1
who 2
whose 1
why 2
wife 4
with 6
without 1
woman 1
women 1
years 1
