5319905
/m/0dfcqb
/m/0dfcqb


{"/m/01jfsb": "Thriller"}
20hour 1
a 37
abandoned 1
able 1
about 1
accident 2
according 1
acknowledgment 1
actual 1
actually 2
after 1
again 1
akin 1
alcoholism 1
all 1
alone 1
along 2
alternate 1
always 2
am 3
an 8
analyze 1
and 21
annemarie 9
any 2
appointment 1
apprehend 1
area 2
arose 1
arrived 4
as 11
assemble 1
assessment 1
at 5
attempting 1
automobile 1
avoid 1
aware 1
away 1
bait 2
be 6
because 4
been 4
before 1
behavior 1
being 2
borne 1
browbeaten 1
but 3
by 7
called 1
came 1
can 2
car 1
case 5
caught 1
chance 1
changed 1
character 3
chief 1
child 2
citizen 1
clever 1
closed 1
clues 2
coincidence 1
come 2
committed 1
competence 1
complaints 1
completely 1
complexity 2
computed 2
concern 1
conclude 1
conclusion 1
confessed 1
confession 1
construct 1
constructed 1
continued 1
contrary 1
control 1
convinced 1
correct 1
could 1
crime 8
crimesolving 1
criminal 2
culprit 1
das 1
daughter 1
day 4
death 1
deeds 1
demonstrate 1
demonstrated 1
demonstrates 1
department 1
depicted 1
depicts 1
describes 1
despite 1
destroyed 1
detailed 2
details 1
detective 14
detectives 1
determine 1
devastating 1
developed 1
did 2
directly 1
discovery 1
do 2
down 1
dr 11
drive 1
driven 1
drrenmatt 3
either 3
encountered 1
end 2
ending 4
enough 5
entirely 2
entry 1
equation 6
es 3
even 4
events 1
ever 1
evil 1
executed 1
exist 1
existed 1
existence 1
explaining 1
explicitly 1
fact 1
fails 1
failure 2
far 2
fate 1
fateful 1
fathom 1
fell 1
felt 1
fiction 8
fictional 1
film 1
final 1
finally 2
find 1
finding 1
finds 1
first 1
firstperson 3
flaws 1
follow 1
folly 1
for 10
formed 1
former 1
found 1
frame 1
framed 1
from 1
fruition 1
gas 1
genius 1
genre 2
genuine 1
geschach 1
geschah 2
girl 4
girls 1
given 1
greater 1
growing 1
h 11
had 14
handle 2
happy 1
having 5
he 9
hellichten 2
hellicten 1
her 4
him 4
himself 3
hired 1
his 15
housekeeper 1
how 2
however 6
idea 2
if 4
implicit 1
in 23
included 1
insanity 1
insert 1
inspectors 1
instincts 2
interrogation 1
into 5
intricate 1
investigating 1
investigation 1
investigative 1
investigator 2
is 11
it 2
its 2
itself 1
keen 1
killed 2
killer 7
knowing 1
lack 1
lacks 1
lain 1
last 1
late 1
later 1
leading 1
leaving 1
level 1
life 2
light 1
like 2
likely 2
literature 2
living 1
locate 1
love 1
mad 1
made 1
madness 1
main 1
make 1
makes 1
man 7
maniacal 1
manner 1
matched 1
matching 1
mathematical 3
mathematician 2
matthi 26
mdash 4
meet 1
meeting 1
mention 1
mentioning 1
merely 1
might 2
minor 1
more 1
most 1
mother 2
movie 1
murder 2
murdered 3
murderer 6
murders 1
naive 2
named 2
narrative 1
narrator 2
near 1
necessary 1
next 1
no 2
not 7
nothing 1
noting 1
novel 1
obsession 2
occurred 2
of 40
offers 1
often 1
on 5
one 3
only 3
or 3
original 2
other 3
outcome 1
outside 1
outsiders 1
own 1
parents 1
part 1
perfectly 1
perpetrator 2
persistence 1
place 1
plan 1
planned 1
plans 1
point 1
police 6
possesses 1
precisely 1
precision 1
presentation 1
presented 3
previous 1
primary 1
prior 1
private 1
probably 1
problem 1
profile 3
promise 1
properly 2
proved 1
psychiatrist 1
purchased 1
pursuing 1
quest 1
random 2
rather 1
reader 2
readers 1
real 3
regards 1
related 2
relates 1
relating 1
relationship 1
relatively 1
relentless 1
rendezvous 1
reported 2
resolution 1
resulted 1
retelling 1
retired 1
reunion 1
revealed 1
road 2
role 1
route 1
sad 1
safety 1
said 1
sank 1
seeing 1
seemed 1
seen 1
sending 1
serial 1
she 2
shrewd 1
similar 1
simply 1
skill 2
so 1
solely 2
solemn 1
solve 2
solved 2
solving 3
sometimes 1
soon 1
sought 1
spring 1
standard 1
station 1
story 9
subject 1
such 5
suitable 1
surround 1
suspect 1
tag 3
takes 1
tale 2
task 1
than 1
that 24
the 100
their 1
then 1
there 1
they 2
thinking 1
this 1
those 1
through 3
thus 3
tied 1
to 43
told 1
too 1
transgression 1
trap 3
travel 1
triumphant 1
true 1
truth 1
twist 1
two 1
typical 2
unable 1
undeterred 1
unmatched 1
upon 1
use 1
uses 1
usually 1
utterly 1
variables 2
version 1
versprechen 1
very 1
villain 1
vindicating 1
wait 1
waited 1
warned 1
was 13
way 3
well 2
were 2
what 1
where 1
which 3
while 1
who 4
with 13
work 5
would 5
writer 1
years 1
