4609933
/m/0ccgct
/m/0ccgct
Terrance Dicks

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 3
all 1
and 2
are 3
arrive 1
at 1
by 1
care 1
coming 1
conflict 1
disrupted 1
doctor 3
draconians 1
each 1
entire 1
exploiting 1
for 1
force 1
galaxy 1
giants 1
goldenskinned 1
in 1
into 1
is 2
it 1
its 1
jo 2
kastopheria 1
named 1
natives 1
not 1
of 1
other 2
peace 1
peaceful 1
planet 2
possibility 1
problem 1
problems 1
quell 1
races 2
risks 1
said 1
seem 1
solve 1
that 2
the 7
their 1
threatens 1
to 3
try 1
trying 1
uncovering 1
warmongering 1
who 1
with 1
world 1
worth 1
