28269157
/m/0cny1c9
/m/0cny1c9
Brenda Cooper

2 1
a 4
accused 1
adoptive 2
adult 1
after 2
akashi 2
alicia 7
along 1
also 2
altered 6
an 3
and 24
animals 1
anyone 1
are 1
around 2
artistos 10
as 1
at 1
attempt 1
band 7
bands 2
battle 1
been 2
before 1
behind 1
better 1
book 1
brother 2
bryan 5
but 1
by 2
caused 1
chelo 7
children 2
completely 1
could 4
crashing 1
damage 1
data 3
do 1
earthquake 2
east 4
else 1
enormous 1
especially 1
events 1
experience 1
families 1
father 1
fight 1
fix 1
fly 1
four 1
fremont 2
friend 1
genemods 1
had 4
he 2
headquarters 1
heal 1
healed 1
help 1
her 3
his 1
hold 1
how 1
hunting 1
hurt 1
in 11
jenna 3
joined 2
joseph 10
judgment 1
kayleen 6
kept 1
killed 1
leader 2
leaders 1
learned 2
lee 1
left 3
liam 7
lived 3
locked 1
making 1
met 1
meteors 1
more 1
most 1
much 2
murder 1
narrating 1
networks 2
new 1
of 7
on 2
other 1
others 1
out 2
paloma 2
parents 1
people 4
places 1
plants 1
possessed 1
powerful 1
predators 1
reading 1
remained 1
remote 1
reserved 1
returned 1
revealed 1
roamers 1
ruth 1
sea 1
see 1
sense 1
sent 1
severely 1
shaken 1
ship 2
showed 1
silver 2
single 1
six 1
soon 2
spaceship 1
specialize 1
starts 1
stayed 2
streams 1
strength 1
studying 1
such 1
sympathetic 1
telling 1
than 2
that 2
the 21
their 1
them 2
there 2
these 1
they 3
this 1
thread 1
threatened 1
to 9
tom 1
took 1
town 2
travel 1
treated 1
two 1
unable 1
up 1
use 1
used 1
was 9
weak 1
weaponry 1
went 1
were 4
west 4
what 2
when 1
where 1
while 4
who 4
with 10
