2393925
/m/078zsn
/m/078zsn
Françoise Sagan

{"/m/01qxvh": "Romance novel"}
a 4
about 1
accept 1
affair 1
and 6
are 1
at 1
attachment 1
attraction 1
aware 1
back 1
be 1
become 1
becoming 1
beginning 1
bertrand 2
bored 1
both 3
businessman 1
but 3
cannes 1
close 1
day 1
decide 1
deep 1
does 1
dominique 6
end 1
eventually 1
fall 1
fear 2
finds 1
for 1
forms 1
franoise 3
from 1
get 1
has 1
have 1
her 1
his 2
holds 1
however 1
hurting 2
in 4
introduces 1
learn 1
love 3
lover 1
lovers 1
luc 5
may 1
more 1
must 1
mutual 1
nights 1
not 2
of 6
off 1
on 1
one 1
other 1
out 1
over 1
paris 1
partners 1
promising 1
realises 1
relationship 1
sadness 1
separation 1
she 2
so 1
spend 1
spending 1
student 1
that 2
the 5
their 4
these 1
they 2
this 1
time 1
tinged 1
to 5
together 1
transience 1
two 2
uncle 1
weeks 2
well 1
when 1
who 1
whom 1
wife 1
with 2
