22606722
/m/05p5q0j
/m/05p5q0j
Bruce Marshall
1943
{"/m/05hgj": "Novel"}
134 1
140 1
a 2
accountant 1
accountants 1
among 1
an 3
and 12
any 1
are 2
as 1
assist 1
at 1
author 2
avoid 1
became 1
behaving 1
believe 1
believes 1
bewildered 1
bigou 3
bigous 1
bourgeois 1
brilliant 1
business 2
but 2
by 1
church 1
clearly 1
come 1
common 1
companies 1
conniving 1
considerable 1
contrast 1
conversations 1
coworkers 1
craftiness 1
crushing 1
daughter 1
defeat 2
deprived 1
did 1
direction 1
display 1
does 1
effort 1
elites 1
employed 1
employees 1
endeavors 1
enterprises 1
especially 1
even 2
event 1
exhibits 1
exist 1
expends 1
family 1
few 1
firm 2
for 1
france 4
friends 1
funeral 1
germany 1
gives 1
goals 1
greed 1
hardworking 1
he 5
helplessly 1
his 4
honest 1
immoral 1
immorality 1
implies 2
impoverished 1
in 8
indicates 1
industrial 1
insatiable 1
integrity 1
interested 1
introduced 1
irreligious 1
is 5
it 1
its 5
itself 1
just 1
knows 1
labor 1
lead 1
leaders 1
legitimate 1
life 2
lived 1
local 1
lost 2
main 1
marie 1
marshall 2
materialism 1
meet 1
meets 1
mildly 1
money 1
more 3
most 1
much 1
nations 1
novel 4
odette 1
of 11
one 1
other 2
outward 1
paris 1
paying 1
people 3
petit 1
physically 1
picture 1
pleasure 1
plucky 1
priest 1
protagonist 1
reader 1
realize 1
religion 1
responsible 1
rewards 1
shabby 1
show 1
sickly 1
similarly 1
sincerity 1
sought 1
soul 1
spiritual 1
spirituality 1
spiritually 1
stand 1
status 1
subject 1
successful 1
sulky 1
taxes 1
than 3
that 8
the 21
their 2
they 2
this 1
through 1
time 1
to 6
trapped 1
troubled 1
us 1
virtue 1
was 1
wasnt 1
we 1
wealthy 1
were 3
when 1
who 1
wife 1
with 2
without 1
worthy 1
