14079779
/m/03csxgj
/m/03csxgj
Hideyuki Kikuchi
1988-10-31
1000 1
17yearold 1
a 15
abilities 1
able 2
about 2
act 1
ago 3
all 1
also 1
an 2
and 12
appraised 1
are 1
area 1
arrived 1
arrives 1
artist 1
as 5
at 1
attacks 1
back 1
baron 1
be 1
bead 1
became 1
because 2
becoming 1
been 2
before 1
begin 1
betraying 1
black 1
blade 1
body 1
boss 1
bring 1
brings 1
but 3
by 6
characters 2
children 1
claimed 1
claims 1
close 1
colorful 1
comes 1
coming 1
commit 1
commoner 1
confronts 1
consists 1
crack 1
cronenberg 2
cruel 1
custom 1
d 9
day 1
death 2
deed 1
defeated 3
departing 1
desperate 1
determined 1
difficulty 1
dirty 1
dispatches 1
distressing 1
doctor 1
dominate 1
dr 1
dumped 1
dwight 1
dying 1
each 1
easily 1
egbert 2
end 1
ever 1
everyone 1
everything 1
exoskeleton 1
falling 1
feared 1
fell 1
felled 1
few 1
finally 2
fishing 1
five 2
florence 3
flowing 1
following 1
for 4
four 1
friend 1
from 5
gangland 1
gem 2
get 1
gilligan 3
glen 3
going 1
grotesque 1
group 1
had 1
half 1
hands 2
handsome 1
happy 1
has 3
have 4
having 1
he 7
head 1
help 1
her 6
here 1
him 4
himself 1
hired 2
his 2
hunter 3
in 9
individuals 1
into 4
is 12
it 3
its 1
jealous 1
jewel 2
just 1
kill 1
killed 2
king 2
knowledge 1
known 1
knows 1
krolock 2
latter 1
leads 1
leave 1
less 1
life 1
like 1
lost 1
love 1
lovehatelove 1
make 1
man 1
marred 1
meinster 4
mercenaries 1
met 1
millennia 1
mysterious 1
named 1
near 2
no 2
nobility 3
noble 2
north 1
now 1
numerous 1
obscenely 1
obtains 1
of 11
old 1
older 1
on 2
one 1
only 2
or 1
other 1
overweight 1
particularly 1
past 1
people 1
plot 1
possesses 1
prevails 1
professor 1
promise 1
promptly 1
punished 1
puppetman 1
rain 1
recollection 1
reformed 1
refused 1
relationship 1
reminiscence 1
request 1
residents 1
resort 2
resulted 1
returns 1
revealed 1
revenge 1
samon 2
sea 4
second 1
secret 1
seeker 1
seems 1
seen 1
self 1
she 3
shin 1
short 1
simon 1
sister 1
smile 1
something 1
status 1
steal 1
story 2
strange 1
subdue 1
such 1
suin 4
summer 2
summers 1
tactics 1
tailing 1
teacher 1
terrible 1
than 1
that 3
the 44
their 1
thickens 1
thing 1
this 2
though 1
three 1
threw 1
throughout 1
to 19
toto 2
traveler 2
traveling 1
tried 1
true 1
try 1
twin 1
undiscernible 1
until 1
using 1
vampire 5
vessel 1
village 4
wants 1
warrior 1
was 1
water 1
weeklong 1
when 3
where 1
which 2
who 4
whole 1
will 1
with 4
world 1
wounded 1
wulin 2
years 2
young 1
