18920495
/m/04jdly5
/m/04jdly5
Elizabeth Enright
1942
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
60 1
a 5
actress 1
adventure 2
an 3
and 4
architectural 1
at 1
attractions 1
away 1
be 2
been 1
beloved 1
buried 1
but 1
by 3
called 1
change 1
child 1
children 2
city 1
could 1
country 1
countryside 1
cuffy 1
diamond 1
discovering 1
discovers 1
dislikes 1
during 2
economics 1
family 1
father 1
find 1
finds 1
for 1
four 2
fourstory 1
guessed 1
had 1
have 1
height 1
hidden 2
history 2
house 3
housekeeper 1
ii 1
in 3
into 2
is 3
it 2
learns 1
live 1
locals 1
many 1
means 1
melendy 3
miranda 1
mistake 1
mona 1
most 1
move 2
moves 1
new 1
none 1
oddlooking 1
of 6
officemdasha 1
oliver 1
out 2
over 1
own 1
places 1
play 1
professor 1
randy 2
rich 1
rush 1
saddened 1
secret 2
shut 1
soon 1
space 1
storm 1
stranded 1
surrounded 1
that 1
the 15
their 3
them 1
they 1
third 1
to 2
tree 1
truly 1
turns 1
unlikely 1
very 1
war 1
what 1
widowed 1
with 2
world 1
years 1
york 1
