5856785
/m/0f99tq
/m/0f99tq
Philip K. Dick

{"/m/05hgj": "Novel"}
10 1
1358 1
160 1
18 1
a 9
about 1
according 1
adolph 1
all 1
always 2
an 3
and 6
appearance 1
as 3
at 2
back 1
bad 2
base 1
basis 1
be 1
beat 1
because 2
bit 1
book 2
break 1
breakdown 1
but 1
buy 1
by 1
can 4
cant 1
card 2
cars 1
causes 1
comes 1
commented 1
comments 1
compare 1
complex 1
concerns 1
currency 1
dated 2
days 1
dead 1
destroy 1
dick 4
divine 1
down 1
drive 2
dying 1
enough 1
evil 1
few 1
fiction 1
files 1
for 3
from 3
fulltime 1
fund 1
future 1
general 1
genius 1
george 1
give 1
god 1
good 1
got 1
guys 1
half 2
has 2
have 3
he 3
hig 3
himself 1
his 3
hitlers 1
how 2
hundreds 1
illegal 1
in 8
index 1
inferior 1
invasions 1
involved 1
is 7
it 1
k 2
know 1
lawrence 1
least 1
letter 1
life 1
limit 1
live 1
liver 1
living 1
long 1
lose 1
lost 2
man 3
mechanic 2
miles 1
moral 1
moralsonly 1
move 1
mph 1
must 1
nicholas 3
no 1
novel 2
novels 1
odd 1
of 8
often 1
old 1
on 4
one 2
only 1
or 1
organ 1
other 1
oust 1
out 1
own 1
paradox 1
people 3
period 1
pessimistic 1
phil 1
philip 2
plot 1
presence 1
protect 1
pseudoorgan 1
published 1
publisher 1
puts 1
really 1
rejected 1
relying 1
replaced 1
robert 1
said 1
science 1
seems 1
sentiment 1
set 1
setting 1
several 1
sic 1
so 1
society 1
soon 1
stamps 1
stavros 1
story 1
sub 1
success 1
superior 1
surviveawareness 1
sutin 1
synopsis 1
techniques 1
terrible 1
the 6
their 1
theme 1
they 1
this 5
time 1
to 7
touched 1
tract 4
tracts 1
trading 1
traight 1
up 2
use 1
usual 1
very 1
virtue 1
was 1
we 1
wherein 1
which 1
who 1
whom 1
will 1
win 2
with 1
words 1
work 1
you 2
