2098128
/m/06l_54
/m/06l_54
Jung Chang
2005-10
{"/m/017fp": "Biography"}
120s 1
130s 1
136 1
14 1
15 1
180 1
20 2
2000 1
2005 2
2010 1
30 1
36 1
3767 1
40 1
45 1
60 1
70 3
85year 1
a 23
abandon 1
abandoned 1
absolute 1
accept 1
access 1
according 2
accordingly 1
account 1
accounts 2
accurate 1
achieve 1
action 1
addition 2
advisor 1
after 1
against 4
age 1
aged 1
agree 1
agreed 1
agricultual 1
all 2
allegations 1
alleged 2
allowed 1
allowing 1
almost 1
along 1
also 4
amongst 1
an 3
and 41
angry 1
another 1
any 1
apart 1
apparently 1
archives 2
areas 1
argue 4
army 7
around 2
arrested 1
arrived 1
as 9
at 9
authorities 1
authors 2
badly 1
based 1
battle 6
battleplans 1
be 5
became 1
been 4
before 2
behind 1
being 2
believed 1
believes 1
between 1
blacksmith 1
book 8
born 1
bridge 4
bridgehouse 1
brzezinski 1
but 2
by 10
came 1
campaign 1
capture 1
carried 1
casualties 1
caused 1
century 1
chains 2
chang 15
charlotte 1
chengdu 1
chiang 2
china 6
chinese 10
cited 1
civil 2
claim 2
claimed 2
claims 3
clear 1
coming 1
command 1
commanded 1
commander 1
common 1
communiques 1
communist 6
communists 8
comparison 1
concern 1
conducted 1
conflict 3
continue 1
contrary 1
control 2
controlled 1
conversation 1
correct 1
could 1
credible 1
cross 1
crossing 2
crushed 1
cultural 1
cut 1
days 1
deadly 1
death 2
deaths 4
decades 1
deciding 1
decisions 1
deliberately 2
democide 1
deng 2
depict 1
describes 1
description 1
desert 1
despite 3
determination 1
diary 1
did 4
die 1
died 1
diktter 1
disagreement 1
disliked 1
disputed 1
dissent 1
do 2
down 1
driving 1
due 1
during 6
e 1
earliest 1
easy 1
edgar 1
eliminate 1
eliminating 1
elite 1
endeavour 1
entered 2
entering 1
estimate 2
estimated 1
estimates 2
even 2
evening 1
event 1
exacerbated 1
exact 1
exaggerated 2
executed 1
explanations 1
export 1
exposed 1
express 1
eyewitness 1
fact 1
failed 1
fairly 1
family 1
famine 3
famines 1
feared 1
feed 1
few 1
fierce 1
fight 1
fighting 6
figure 2
figures 2
financed 1
find 1
fire 2
flawed 1
fled 1
flowers 1
for 15
force 2
forces 3
former 2
forward 3
fought 1
found 4
frank 1
friends 1
from 4
front 1
funding 1
further 1
gained 1
general 2
generated 1
get 1
given 1
gobi 1
government 1
grain 2
great 4
guarding 1
guerrilla 1
guixiu 1
guotao 1
had 12
half 2
haliday 1
halliday 9
hardship 1
harrison 1
has 2
have 5
having 1
he 15
held 2
her 1
herald 1
heroic 4
high 1
highest 1
highranking 1
hindrance 1
his 16
historian 2
historical 1
history 2
hong 1
hopeless 1
hostage 1
how 1
however 1
hu 3
human 1
hundred 1
idealistic 1
if 1
il 1
ill 1
immoral 1
imperial 1
in 33
incident 1
including 1
indicated 2
industry 1
inevitably 1
information 1
ingenious 1
initiative 1
inspiring 1
interested 1
interviewed 1
intimidation 1
into 3
invaders 1
is 6
it 8
its 2
j 1
japanese 4
jiangxi 1
jisheng 1
journalist 1
journey 1
jung 1
just 2
kaishek 2
killed 2
killings 1
kim 1
kmt 2
kong 1
korea 2
korean 1
kuomintang 1
kuotao 1
leader 2
leaders 1
leading 1
leap 3
led 2
left 1
legal 1
level 1
li 3
life 1
like 2
litters 1
little 1
lives 1
local 3
long 5
luding 2
lust 1
many 2
mao 21
march 6
mass 1
may 1
means 1
melt 1
member 1
members 1
men 1
mention 1
mentioned 1
merely 1
military 1
militarynuclear 1
million 9
millions 1
ming 1
mission 1
more 2
morning 1
moscow 1
most 3
mostly 1
motivated 1
much 1
murdered 1
murderous 1
mythology 2
national 2
nationalist 1
nationalists 1
nearly 1
needed 1
newly 1
newspaper 1
nights 1
no 3
nor 2
north 1
not 8
notable 1
noted 1
number 3
numbers 1
objected 1
occasions 1
october 1
odds 1
of 41
officers 1
official 3
officially 1
officials 1
old 1
on 9
once 1
one 5
onequarter 1
only 2
opened 1
opens 1
operation 1
operations 1
opium 2
opponents 3
opposing 1
or 2
order 2
ordered 1
ordinary 1
other 6
our 2
outside 1
over 4
overproduction 1
panicked 1
participated 1
party 4
patronage 1
peacetime 1
peasant 1
peasantry 1
people 1
period 2
person 1
personal 1
philip 1
places 1
poisoned 1
politburo 2
political 1
population 2
portrayed 3
power 4
practice 1
presented 1
previously 1
price 1
privileged 1
proceed 1
production 1
professor 1
promised 1
propaganda 2
proportions 1
protected 1
provide 1
provided 1
published 1
publishers 1
publishing 1
purges 1
pursue 1
put 1
puts 1
r 1
rarely 1
rather 2
really 1
recalled 1
red 5
regardless 1
regions 1
release 1
relied 1
reluctantly 1
reported 1
reporter 1
research 1
responsible 1
resulting 1
review 1
revised 1
revolution 2
revolutionary 2
rid 1
rise 1
rival 2
rivals 1
role 1
roughly 1
rule 1
ruled 1
rummel 1
russia 1
russian 1
sacrificed 1
said 3
salisbury 2
saving 1
saw 2
say 1
says 1
scholars 1
schram 2
second 1
secondhand 1
secretly 1
security 1
seek 1
senior 1
sent 1
sentence 1
set 1
seven 2
sharing 1
she 3
short 1
shuyun 1
side 2
significant 1
simply 1
sinologist 1
sleeper 1
small 1
smiled 1
snow 1
soldiers 3
some 1
son 2
sources 2
soviets 1
speech 1
spirit 1
stalin 1
stanford 1
star 1
started 2
state 1
stating 1
stopped 1
story 1
strategy 1
stuart 2
subordinates 1
subsidize 1
such 5
suffering 2
sufficient 1
suggest 1
suggests 1
sun 1
sung 1
superpowerdom 1
supported 1
supposedly 1
surplus 1
survived 1
survivors 1
sydney 1
tactics 1
taiwan 1
take 1
taken 1
tales 1
tens 1
terror 1
than 4
that 37
thats 1
the 112
their 2
them 1
then 1
there 6
thereby 1
they 9
this 6
though 2
thousands 1
threat 1
through 1
time 2
to 36
told 1
tolerated 1
toll 2
took 1
total 1
tough 1
trade 2
treatment 1
troops 3
truth 1
try 1
tsetung 1
twentieth 1
twice 1
unable 1
under 3
underhanded 1
united 1
university 1
unknown 1
unnecessary 1
untold 1
updated 1
us 1
use 1
used 1
usually 1
vanguard 1
vary 1
very 2
waged 1
wang 1
war 5
was 24
wasnt 1
way 1
we 1
welfare 1
well 3
wellinformed 1
were 8
when 4
whereas 1
which 1
who 6
whose 1
willing 1
with 4
withdrawn 1
without 2
witness 2
witnessed 1
working 1
works 1
world 1
worldwide 1
would 1
wounded 1
write 3
writers 1
xiaoping 1
xinhua 1
xiuzhen 1
yanan 1
yang 1
yaobang 1
year 1
years 1
zbigniew 1
zhang 1
zongnan 1
