32895260
/m/0h3p_d3
/m/0h3p_d3
William Safire
1987-08
1 1
1861 1
1863 1
a 9
abolition 1
about 1
accept 1
actual 1
adjourns 1
against 1
albert 1
all 2
along 1
also 1
among 1
an 1
and 19
anna 1
any 1
are 4
army 1
as 14
attachmentsbut 1
author 2
available 1
battle 1
be 1
benjamin 1
between 4
bitterly 1
black 2
blacks 1
blends 1
blue 1
book 9
books 2
both 2
breckenridge 4
butler 2
by 4
cameron 1
campaigns 1
carroll 4
case 1
cause 1
characters 1
chase 3
close 1
come 1
commander 1
compares 1
complains 1
concerned 1
confederate 5
conflict 1
connections 1
construe 1
contemporaneous 1
controversial 1
convinced 1
cover 1
create 1
creator 1
credit 2
dead 1
deal 1
deals 1
death 1
decision 2
dedicated 1
define 1
denying 1
depose 1
describes 1
desire 1
destruction 1
development 1
developments 1
developmentsexecution 1
diaries 1
do 1
doctrine 2
donned 1
down 1
dred 1
due 1
duty 1
each 1
edwin 1
efforts 1
eight 1
ella 1
emancipation 2
end 3
enemy 2
enlistment 1
entertain 1
essential 1
events 3
ever 1
examine 1
factladen 1
fictional 3
final 1
five 1
focus 1
follow 1
for 3
forces 1
forney 1
founders 1
four 2
frankly 1
freedom 2
friend 1
from 3
general 2
generally 1
goal 1
goals 1
good 2
had 1
hang 1
happens 1
hatrack 1
hay 1
he 3
heard 1
hill 1
him 4
himself 1
his 7
historians 1
historical 2
how 1
humanity 1
i 1
imagined 1
improper 1
in 14
including 1
induce 1
information 1
intact 1
intends 1
into 1
invade 1
invented 1
is 10
iscariot 1
issue 1
it 1
itleading 1
its 1
january 1
john 2
johnson 1
judas 1
justifies 1
kate 1
knew 1
later 1
latter 1
leads 1
letter 1
letters 1
lincoln 3
m 1
made 1
main 1
mainly 1
make 2
making 1
man 1
may 1
mcclellan 3
means 1
member 1
military 4
moment 1
most 1
narrative 1
new 1
nine 1
novel 3
of 25
often 1
on 2
one 2
opens 1
opponents 2
opposition 1
or 1
orleans 1
other 2
over 1
p 2
pairings 1
participates 1
particular 1
parties 1
people 1
period 1
plan 4
point 1
political 3
politicalmoral 1
portrayed 3
position 1
possible 1
power 1
prism 1
proclamation 1
provide 1
purpose 1
put 1
quest 1
read 1
reader 1
rebellion 1
receive 2
record 1
records 1
recounting 1
regard 1
regards 1
regiments 1
remove 1
response 1
return 1
river 1
role 1
romance 1
romances 1
romantic 1
safire 2
said 1
salmon 2
scott 1
scoundrel 1
secretary 1
secretly 1
sections 1
senate 2
seven 2
shiloh 1
shown 1
shows 5
side 1
sides 1
sidney 1
simon 1
six 2
slavery 1
south 1
southern 1
speeches 1
standing 1
stanton 3
states 1
stays 1
step 1
striving 1
struggle 1
succeeding 1
success 1
such 2
summarized 1
support 1
surely 1
tells 1
tennessee 2
tension 1
that 7
the 54
their 2
these 2
thinking 1
this 3
thoughts 1
threads 1
three 1
through 1
to 28
torn 1
towards 1
traces 1
transcripts 1
treasonous 1
two 3
underbook 1
unfavorably 1
uniform 1
union 4
unmitigated 1
up 1
us 1
usurpation 1
utmost 1
victory 1
view 1
voluntarily 1
wants 1
war 3
warns 1
was 1
way 1
we 1
well 1
what 3
when 1
wherever 1
which 3
who 1
whom 1
will 2
win 1
with 6
would 1
writes 1
you 1
your 1
