23869916
/m/076vkph
/m/076vkph
Ted Dekker
2009
{"/m/05hgj": "Novel"}
200 1
5000 1
7000 1
a 29
above 1
accept 1
accepted 1
accepts 2
accompanied 1
act 1
affecting 1
after 7
again 2
against 4
ago 1
airborne 1
all 6
allow 1
almost 1
also 1
an 5
and 72
antichrist 1
any 1
anybody 1
anything 1
apartment 1
are 9
argument 1
arrive 3
as 9
asks 2
at 7
attempts 1
audience 1
b 2
baal 10
baalbilly 1
back 9
bathe 1
battle 1
battlefield 3
be 4
beats 1
became 1
before 3
beg 1
beginning 1
begins 1
behind 1
being 1
bek 1
belief 1
believe 1
believes 2
believing 1
betrothed 1
between 2
bill 2
billos 1
billy 13
bit 1
black 5
bleed 1
blood 7
bloodloss 1
body 2
book 3
books 7
born 1
both 1
boy 1
break 1
breaking 1
breaks 1
breath 1
breathabout 1
bring 1
broken 2
brought 1
but 11
bwhich 1
by 14
call 1
calls 1
camp 1
can 2
cannot 1
captured 2
caste 1
cause 1
caused 1
center 1
challenge 4
challenges 2
chance 1
change 2
chelise 9
choose 1
chooses 1
chosen 1
church 1
circle 8
clone 2
closing 1
clothing 1
conduct 1
confused 1
connect 1
connections 1
continues 1
corporations 1
could 1
crater 1
create 1
creates 1
creating 1
cries 2
crying 1
current 1
cutting 1
daughter 3
day 1
de 1
dead 2
death 1
decapitates 2
decide 4
decides 2
deep 1
denys 1
desert 1
destroyed 3
devouring 1
did 1
different 1
disappears 1
disaster 1
disease 2
diseased 2
dive 1
do 4
dont 1
door 1
down 1
drastically 1
dreadfully 1
dream 1
dreamed 2
dreaming 1
dreams 1
drown 2
drowned 1
drowns 1
earth 7
effects 1
elyon 14
end 1
ended 1
ending 1
enter 1
entering 1
eram 2
eramites 1
escape 3
even 1
evolution 1
exists 3
eye 1
eyes 1
eyesand 1
facing 1
far 1
fast 1
father 2
fear 1
feed 1
few 2
fight 6
fighter 1
figure 1
final 1
finally 1
find 3
finds 4
finished 1
first 3
fled 1
fly 1
following 1
follows 1
for 9
forces 5
forest 3
forests 3
forsaken 1
forsakes 1
forty 1
free 1
from 4
fully 1
gatherings 1
get 2
getting 1
given 2
gives 1
glasses 1
global 1
goes 1
green 3
group 2
guest 1
had 2
halfbreeds 2
halfmother 1
happening 1
happens 1
hard 1
has 3
have 3
he 22
head 2
heading 1
heavens 1
help 2
helping 1
her 5
herself 1
him 14
himself 3
himthat 1
his 12
history 3
hold 1
holding 1
horde 3
hours 2
humanity 1
hunter 1
if 1
immediately 1
in 22
including 1
indonesian 1
infected 2
inferno 1
information 1
inhabitant 1
inhabiting 1
inject 1
injected 1
inside 1
instead 1
into 4
is 29
it 7
jamous 2
janae 13
janea 1
johan 1
join 3
joints 1
journeys 1
jump 1
just 3
kara 6
kill 2
kills 1
knockout 1
know 1
knowledge 1
lab 1
laboratory 1
lake 2
larvae 1
later 2
lead 1
leader 2
least 1
leave 1
leaves 3
leaving 3
left 3
lets 2
life 2
like 2
locks 1
looking 1
looks 1
lost 1
lover 1
lovers 1
loving 1
lowered 1
lowers 1
magic 1
make 1
making 1
man 1
mansion 1
marie 5
marsuuv 5
may 3
meaning 1
meets 1
members 1
mercy 1
met 1
microscope 1
midtwenties 1
mikil 2
millions 1
minds 1
mist 1
monique 5
more 1
move 2
much 1
named 1
names 1
need 1
new 1
newest 1
next 1
no 2
not 9
nothing 1
now 3
objective 1
of 31
offering 1
on 5
once 2
one 4
ones 1
only 2
operator 1
or 2
origin 1
original 1
other 4
others 2
our 1
out 3
outside 2
over 1
overhead 1
own 1
past 1
people 1
phases 1
pills 1
placed 1
places 1
placetime 1
plummeted 1
pop 1
possessed 1
power 2
priests 2
prison 1
pursue 1
pursuit 2
put 1
queen 1
queens 1
questioning 1
quickly 1
qurong 14
raison 7
read 1
reality 2
realizes 1
realizing 1
red 2
refers 1
refuses 1
release 1
remain 1
reminiscent 1
renegade 1
repeated 1
respectively 1
returning 1
right 1
room 2
roush 1
sacrifice 2
safekeeping 1
same 1
sample 2
samuel 15
save 5
saved 1
say 1
scabs 2
second 1
seducing 1
seen 1
send 1
sends 1
sent 1
series 1
shaitaki 3
shataiki 2
she 4
shifts 1
shot 1
shower 1
showing 1
shown 1
shows 2
side 1
sister 1
skin 3
slaughtered 1
slyly 1
so 2
sold 1
soldiers 1
some 1
something 1
son 1
stand 1
start 1
starts 2
stay 1
steal 1
steals 1
still 4
stop 1
stopped 1
story 1
strain 4
stricken 1
strike 1
strong 1
sword 1
system 1
take 1
taken 2
takes 2
talk 1
talks 1
target 1
task 1
tasked 2
teeleh 7
teleeh 1
tell 2
ten 1
terms 1
that 18
the 90
their 8
them 11
themjanae 1
themselves 3
themthey 1
then 3
there 1
they 22
thirty 1
this 1
thomas 34
those 2
though 2
thoughts 1
thrall 1
threatened 1
three 1
through 1
tieddown 1
time 1
times 1
to 53
together 1
too 1
touched 1
travel 5
treated 1
tries 1
try 2
trying 1
turn 2
twelve 1
two 1
twohundred 1
under 2
unknown 1
until 1
unwinding 1
up 3
used 2
uses 1
using 1
vadal 1
very 2
vial 3
violently 1
visions 1
vow 2
waiting 1
wake 1
wakes 2
warmaking 1
warrior 1
was 10
watches 1
watching 1
waters 1
ways 1
wearing 1
well 1
went 1
what 1
when 4
where 9
which 4
while 3
white 2
who 13
wife 1
will 4
wishes 1
with 23
without 2
woken 1
women 1
words 4
work 1
worms 1
would 1
wrists 1
writing 1
years 2
