31170616
/m/0gh6zsd
/m/0gh6zsd
Michael Hardcastle
1969
{"/m/05hgj": "Novel"}
about 1
against 1
along 2
ambition 1
and 3
andy 1
at 1
barry 2
become 1
blair 1
book 2
but 1
by 1
captain 1
charts 1
cope 1
debut 1
determination 1
dillon 1
end 2
ever 1
feature 1
first 2
footballer 1
for 1
goal 1
hardcastle 1
has 2
he 2
him 1
his 6
injured 1
injuries 1
into 1
is 3
it 1
jane 1
jealousy 1
local 1
make 1
makes 1
nasty 1
north 1
not 1
of 5
parents 1
peers 1
play 1
player 1
preston 1
professional 1
rapid 1
rise 1
rovers 2
sceptical 1
school 1
scorton 2
see 1
simply 1
sister 1
skill 1
some 2
start 1
story 1
support 1
talented 1
team 2
teenage 1
the 11
through 1
to 4
unflinching 1
way 1
when 1
who 1
with 2
xi 1
youngest 1
