21706040
/m/05mv1r6
/m/05mv1r6
Sam Greenlee
1969-03
115th 1
160s 1
170s 1
a 17
about 2
accuse 1
across 2
actions 2
africanamericans 1
after 4
agencies 1
agency 4
alderman 1
all 1
also 1
america 1
among 1
an 2
and 24
any 1
apartment 1
appear 1
appreciation 1
argument 1
armory 1
as 6
asked 1
at 2
athletic 1
attack 1
attacks 2
audience 1
avenue 1
avoid 1
bank 1
because 2
become 2
becomes 1
been 1
before 1
begin 1
begins 1
best 1
black 9
blow 1
body 1
book 2
both 2
broadcast 1
bull 1
by 2
calls 1
campaign 1
car 1
center 1
central 1
chicago 9
chief 1
cia 6
cities 1
city 4
class 1
closes 1
cobras 2
colonel 1
colony 1
comanches 1
combat 1
comfortable 1
commander 1
commitment 1
communications 1
complete 1
completes 1
completing 1
condition 1
contact 2
continues 1
cottage 1
dan 1
dawson 3
dc 1
defines 1
desk 1
desperately 1
discrimination 1
dispose 1
distaste 1
during 1
early 1
enough 1
ensure 1
entered 1
escalate 1
especially 2
evans 1
events 1
exactly 1
expert 1
female 1
fight 1
fighter 1
fighters 8
final 1
finding 1
finds 1
first 2
football 1
for 4
fourth 1
freedom 9
freely 1
freeman 18
friend 1
friends 2
from 4
function 1
gang 2
gaps 1
give 1
given 1
got 1
grades 1
group 1
grove 1
guard 4
guardsmen 1
guerrilla 4
guest 1
hall 1
halstead 1
handtohand 1
has 4
he 7
hear 1
hennington 2
highest 1
him 3
hiring 1
his 9
illdisciplined 1
immediately 1
immune 1
in 19
includes 1
initiate 1
inner 2
integration 1
intelligence 1
investigation 1
is 9
its 1
jobtop 1
judo 1
just 1
kidnap 1
killing 1
kills 1
korea 1
korean 1
late 1
leader 1
leaders 1
learned 1
liberal 1
liberation 1
live 1
living 1
looking 1
lsd 1
makes 1
man 1
marks 1
mayor 1
men 1
michigan 1
middleclass 1
model 1
motives 1
multiple 1
music 1
names 1
nation 1
national 5
nationalist 1
negro 3
new 2
no 1
nonviolent 1
novel 1
now 1
of 15
office 1
officer 1
officers 1
often 1
old 1
on 3
only 1
opens 1
or 1
orders 1
other 1
out 1
over 1
paint 1
partaking 1
people 1
person 1
place 1
played 1
poetry 1
police 2
political 1
previously 1
process 1
progress 1
proof 1
propaganda 2
providing 1
puts 1
racial 1
radio 1
raising 1
reasons 1
recruit 1
recruiting 1
recruitment 1
red 1
reelection 2
release 1
reproduction 1
required 1
resigns 1
return 1
returns 1
revolt 1
revolutionary 1
rival 1
robbery 2
says 1
second 1
secret 2
secretly 1
sections 1
senator 4
sergeant 1
services 1
set 1
sloppily 1
sniper 1
snobridden 1
social 2
speak 1
speaking 1
spreading 1
start 1
state 1
states 2
stationed 1
stations 1
stop 1
story 1
study 1
subsequent 1
subversion 1
successfully 1
suggests 1
supposed 1
suspicion 2
suspicions 1
tactics 2
take 1
takes 1
teaching 1
teams 1
techniques 1
tells 1
that 5
the 53
their 3
them 1
then 1
therefore 1
they 5
third 1
three 1
throughout 1
tight 1
time 1
to 13
token 1
top 1
trained 1
training 4
truly 1
try 1
twelve 1
two 1
underground 1
understands 1
unit 2
united 2
university 1
up 1
upon 1
urban 1
used 1
various 1
verified 1
violent 1
visited 1
vote 1
want 1
war 2
warfare 3
was 1
washington 1
ways 1
we 2
weaponry 1
what 2
when 2
white 2
wife 1
win 1
wishes 1
with 6
within 1
word 1
work 1
world 1
yellow 1
young 1
