8913345
/m/027pf47
/m/027pf47
Margaret Weis
1986-08
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 12
abyss 6
accompanied 1
afterwards 1
against 1
ahead 1
aid 1
alive 1
all 3
alone 1
an 1
and 28
another 1
appears 1
are 3
arrive 3
arrives 1
as 4
assails 1
astinus 4
at 3
attacked 1
away 1
back 2
barrage 1
bastion 1
battle 4
be 3
becomes 1
been 1
begins 2
being 2
bleak 1
blind 1
blinded 1
body 1
book 3
burrfoot 1
but 4
by 6
can 1
caramon 14
castle 1
changing 1
chronicles 1
church 1
citadel 2
city 1
claim 1
clerist 1
close 1
closes 1
comes 2
constellation 1
control 2
corpse 1
cost 1
creatures 1
crysania 6
dalamar 4
darkness 1
death 1
defeated 1
defense 1
device 1
devoid 1
dies 1
discover 3
discussing 1
dominates 1
dreamless 1
due 1
dwarven 1
encounters 1
ends 1
enters 2
eternity 1
everything 1
exiting 1
exploding 1
explosion 1
faces 1
failure 1
fall 1
final 1
find 2
finds 1
flies 2
floats 1
flying 1
for 3
forced 1
forces 1
fortress 1
forward 1
from 6
gains 1
gets 1
gives 1
go 1
gods 1
goes 4
grandmaster 1
gray 2
great 1
gunthar 1
hallucinations 1
has 2
having 3
he 10
head 1
health 1
hears 1
her 5
hero 1
high 2
him 1
himself 1
his 2
hourglass 2
however 1
hurt 1
illusion 1
illusions 1
immortal 1
in 10
induced 1
inevitable 1
injures 1
into 2
is 19
it 3
kharas 2
killed 1
kitiara 5
knight 1
knights 1
laboratory 1
last 2
later 2
left 1
lethally 1
life 1
lord 2
magic 2
magical 3
magically 2
magius 1
majere 2
map 1
massive 1
master 1
might 1
mixing 1
moments 1
more 1
most 1
must 1
need 1
never 1
no 1
nothing 1
novel 2
now 2
of 25
off 2
on 2
one 2
only 2
out 1
over 1
overcoming 1
overjoyed 1
own 1
paladine 2
palanthas 6
parsalian 2
passes 1
patriach 1
people 1
physical 1
plagued 1
planned 1
plans 1
portal 3
prepare 1
prevented 1
process 1
prologue 1
proper 1
protected 1
protects 1
purpose 1
queen 2
raistlin 16
read 1
receives 1
recording 1
refuses 1
relates 1
retrieved 1
return 1
reunited 1
ride 1
riding 1
right 1
said 1
save 1
scene 1
seals 1
seen 2
sees 2
served 1
severely 1
she 4
short 2
side 1
sky 1
sleep 1
sludge 1
solamnia 1
soon 1
sorcery 1
soth 4
speaking 1
spot 1
staff 1
stay 1
still 1
stop 3
stopping 1
surviving 1
symbol 1
take 2
takhisis 2
tanis 7
tas 5
tasslehoff 2
teleports 1
tells 1
than 1
that 11
the 48
their 1
then 2
they 6
this 1
tika 1
time 5
to 22
together 1
told 2
too 1
tower 5
traveling 1
trials 1
try 1
two 2
uth 1
warn 1
wayreth 1
weak 1
when 4
where 3
wherein 1
who 4
wife 1
will 1
wistan 1
with 5
won 1
world 4
wounded 1
writes 1
years 1
yet 1
