11247103
/m/02r4_g2
/m/02r4_g2
Theodore Sturgeon
1950
a 5
abilities 1
able 2
acts 1
and 7
another 1
are 1
as 1
assembles 1
at 1
baby 1
believes 1
bleshing 3
boy 1
brain 2
by 2
caregiver 1
change 1
completeness 1
computer 1
creation 1
describes 2
directs 1
down 1
earth 1
endangering 1
evaluation 1
fifteenyearold 1
fifth 1
follows 1
for 1
form 1
formed 1
four 1
fourth 1
frcristal 1
functionality 1
gerry 1
gestalt 1
hands 1
has 1
he 1
head 1
his 2
homo 1
how 1
humans 1
is 4
it 1
its 1
kew 1
life 1
like 1
miss 1
more 1
move 1
murdered 1
named 1
new 2
objects 1
of 7
on 1
one 1
or 1
organism 5
own 1
paranormal 1
parts 1
person 2
persons 1
physical 1
plot 1
psychiatric 1
qui 1
silent 1
songe 1
story 1
symbiosis 1
syndrome 1
telekinesis 1
telepathy 1
teleport 1
the 16
third 1
through 1
to 2
twins 1
various 1
who 2
will 1
with 2
