9970613
/m/02pyfs9
/m/02pyfs9
Lyndon Hardy
1980-10
a 7
achievement 1
adventures 1
aeriel 2
all 2
allows 1
alodar 13
also 1
an 4
ancient 2
and 6
animation 1
antagonist 1
antagonists 1
apprenticeship 1
archimage 1
army 1
artifact 2
at 1
basics 1
becomes 1
begin 1
book 5
both 1
but 1
by 3
character 2
chooses 1
combination 1
continue 1
corresponds 2
coup 1
craft 1
credit 1
defeat 1
demon 1
demonic 1
discipline 2
disciplines 1
discovers 1
distinguish 1
divided 1
does 1
each 1
enough 1
entitled 1
feature 1
female 1
fictional 1
fifth 2
final 2
first 3
five 2
focuses 1
for 1
forms 1
fourth 1
half 1
he 1
hero 1
him 1
himself 1
his 4
however 1
important 1
in 7
instead 2
into 1
introduces 1
invasion 1
is 4
its 1
journey 1
knowledge 1
land 1
leader 1
learned 1
learning 1
learns 1
left 1
magic 4
magical 1
main 1
make 1
marriage 1
marry 1
mastery 1
much 1
narrative 1
new 1
not 1
notable 1
nowimminent 1
of 20
offer 1
on 2
other 1
part 7
particular 1
parts 2
placed 1
placing 1
planned 1
portion 1
predicted 1
previous 1
procolon 1
queen 3
quest 1
recognized 1
reveals 2
second 1
selfimposed 1
six 1
sixth 1
some 1
spurns 1
start 1
sufficiently 1
suitor 1
support 1
suspended 1
that 4
the 29
then 1
three 1
throne 1
to 12
type 2
uses 1
usurps 1
vendora 1
was 1
wed 1
which 1
who 2
with 1
wizard 1
wizards 1
