14348829
/m/03d18yb
/m/03d18yb
Jennifer L. Holm
2006
{"/m/0dwly": "Children's literature"}
153 1
a 3
about 1
accident 2
after 3
agrees 1
all 1
an 2
and 4
apart 1
as 3
big 1
book 1
but 1
can 1
car 1
catching 1
dating 1
death 2
elevenyearold 1
end 1
ends 1
falucci 2
family 3
father 2
favorite 1
fear 1
for 3
get 1
girl 1
give 1
go 1
good 1
grandparents 1
halves 1
her 10
his 3
hospital 1
how 1
in 6
is 4
it 2
italianamerican 1
jersey 2
learns 1
let 1
lives 1
living 2
love 1
loves 1
marriage 1
married 1
milkman 1
mother 4
motherand 1
movies 1
mr 1
mrs 1
much 1
mulligan 2
new 2
normal 1
of 5
on 2
or 1
penny 9
polio 1
pool 1
professes 1
protagonist 1
puts 1
reason 1
set 1
several 1
she 3
shuns 1
side 1
since 1
spends 1
terrible 1
that 2
the 11
them 1
they 1
time 1
to 2
top 1
tore 1
truth 1
twelveyearold 1
two 1
uncle 1
up 1
weeks 1
who 1
widowed 1
with 2
wont 2
year 1
