20579899
/m/051xdl0
/m/051xdl0
Carolyn Keene


a 7
aboriginal 1
an 3
and 2
asks 1
australia 1
australian 1
back 1
bloodhungry 1
board 1
boys 1
clan 2
creating 1
desperate 1
devlin 1
drew 1
encounter 1
endangered 1
flame 1
for 1
fueled 1
hardy 1
her 3
idol 1
in 1
is 1
it 1
join 1
keeping 1
land 1
list 1
local 1
locate 1
mabo 1
mick 1
mine 1
nancy 1
nellie 1
new 1
of 4
old 1
on 1
only 1
opal 1
outback 1
over 1
pair 1
poacher 1
proprietors 1
rage 1
return 1
revered 1
species 1
support 1
suspects 1
the 4
tjuringa 1
to 3
verge 1
war 1
who 1
with 1
