3979547
/m/0b9tff
/m/0b9tff
Jeff Mariotte

{"/m/014dfn": "Speculative fiction", "/m/03npn": "Horror", "/m/0dwly": "Children's literature"}
a 10
acts 1
address 1
agenda 1
also 1
and 5
angel 2
appears 1
at 1
be 1
behind 1
betty 1
cigarette 2
commissioner 1
construction 1
cordelia 1
corpse 1
decayed 1
demons 1
disappearing 1
doyle 1
dresses 1
evil 1
find 1
girl 3
harbinger 1
has 1
he 3
him 1
his 2
hollywood 1
host 1
in 1
involving 1
is 2
leads 2
local 1
mccoy 1
meanwhile 1
mike 1
modern 1
more 1
must 1
new 1
of 2
officials 1
opposes 1
pi 1
piece 1
research 1
site 1
slade 2
soon 1
start 1
story 1
strange 1
supernatural 1
team 1
the 2
their 1
them 1
they 1
this 1
times 1
to 3
together 1
town 1
tracking 2
vision 1
water 1
which 1
yet 1
