26837361
/m/0bmch36
/m/0bmch36
Raphael Selbourne
2009
{"/m/0488wh": "Literary fiction"}
a 7
abused 1
according 1
account 1
act 1
advances 1
after 1
again 2
age 1
alienated 1
all 1
allowed 1
also 3
although 1
an 4
and 11
appalled 1
arranged 1
as 5
aspects 1
aston 1
at 4
atheism 1
attempts 1
attend 1
bangladesh 1
be 1
beauty 8
been 2
before 1
beginning 1
begum 1
being 3
benefit 2
bengali 1
between 1
both 1
bureaucracy 1
but 1
by 3
can 1
care 1
career 1
causes 1
chapters 1
characters 1
choose 1
classes 1
commit 1
consequence 1
darwinism 1
days 1
degree 1
demands 1
does 1
due 1
dumb 1
duty 1
elderly 1
emotional 1
empowered 1
encounter 1
endeavours 1
england 1
english 1
excon 1
exposed 1
fact 1
faith 1
family 6
feminist 1
few 1
finds 1
first 2
for 2
fought 1
freedom 1
from 4
futility 1
gain 1
group 1
hard 1
harm 1
has 6
have 1
having 4
hearing 1
help 2
hemmings 1
her 17
him 1
himself 1
his 2
home 3
illiterate 1
in 4
insane 1
interactions 1
is 7
it 1
its 1
kate 1
knowledge 1
late 1
leaving 1
lecturing 1
life 2
lives 1
living 1
main 1
many 1
mark 3
marriage 1
marry 1
meals 1
meets 2
members 1
middleclass 1
more 1
morgan 1
mullah 1
muslim 1
narrator 1
need 1
neighbour 1
nineteenyearold 1
not 2
novel 2
now 1
of 18
off 1
old 1
on 2
one 1
only 1
opposition 1
oscillating 1
out 3
own 3
particular 1
path 1
people 3
peter 4
physical 1
physically 1
practical 1
precise 1
prejudices 1
preserved 1
pronounced 1
provide 2
read 1
reader 1
realizes 2
rebellion 1
reconsider 1
relationship 1
relays 1
residents 1
rest 1
returned 1
right 1
same 1
set 1
she 8
singled 1
skills 1
some 1
someone 1
somewhat 1
sophisticated 1
specifications 1
state 1
stay 1
strengthen 1
substantial 1
successfully 1
supposed 1
survived 1
teaching 1
ten 1
than 1
that 4
the 22
them 1
those 1
thought 1
thoughts 1
time 1
timid 1
to 13
told 1
too 1
tribulations 1
trying 1
twice 1
unable 1
unhappy 1
using 1
verbally 1
virginity 1
was 1
welfare 1
well 2
western 1
where 2
white 2
who 3
whom 1
whose 1
wife 1
with 4
wolverhampton 1
woman 3
work 1
worked 1
world 1
young 2
