13798336
/m/03cjk_w
/m/03cjk_w
Yves Thériault

140s 1
a 2
agaguk 4
alcoholism 1
allows 1
also 1
an 2
analysis 1
and 4
are 1
as 4
aspect 1
assimilation 1
behaviour 1
between 2
by 1
character 1
conflict 1
conflicts 1
cultural 1
describing 1
diverges 1
economic 1
explored 1
explores 1
for 1
from 2
furthermore 1
general 1
his 3
in 2
injustice 1
intriguing 1
inuit 3
iriook 1
is 2
it 1
journeys 1
judicial 1
main 1
man 1
mastery 1
men 2
named 1
nature 1
northern 1
novel 2
of 7
particular 1
personal 1
perspective 1
quebec 1
relationship 1
set 1
story 1
the 12
their 1
themes 1
this 1
thoroughly 1
thriault 1
through 1
told 1
towards 1
tribe 1
tundra 1
well 2
white 2
wife 1
with 2
woman 1
yves 1
