22244618
/m/05qb9wk
/m/05qb9wk


{"/m/0dwly": "Children's literature"}
1473 1
a 6
acutely 1
advance 1
after 1
ancient 1
and 4
attention 1
aware 1
become 1
becoming 1
being 1
between 1
bond 1
boyking 1
brother 1
brothers 2
but 1
by 1
competition 1
court 1
craft 1
depicts 1
difference 1
draw 1
during 1
duties 1
expertise 1
family 2
father 1
festival 1
finds 1
first 1
firstborn 1
flies 1
flying 1
for 2
friends 1
from 1
goal 1
growing 1
he 3
him 1
his 4
honour 1
in 6
individual 1
is 4
it 2
keesup 2
king 2
kite 1
kitefighting 1
kites 1
korea 2
lee 1
life 1
making 1
merchant 1
modeled 1
much 1
needs 1
new 1
not 1
novel 1
of 7
official 1
outside 1
position 1
pressure 1
protocol 1
relationship 1
represent 1
rice 1
secretly 1
seoul 1
set 1
son 1
songjong 1
spends 1
status 1
strengthens 1
studying 1
talent 1
tension 1
that 1
the 15
them 1
they 1
though 1
time 2
to 1
traditional 1
traditionbound 1
true 2
two 2
under 1
with 1
year 1
younger 1
youngsup 2
