31301515
/m/0gjcvdj
/m/0gjcvdj
Damon Knight
1959
{"/m/06n90": "Science Fiction", "/m/05hgj": "Novel"}
a 5
about 1
accept 1
actor 1
agreement 1
agrees 1
altercation 1
alvah 5
an 3
and 6
antagonistic 1
area 1
at 1
attack 1
b 2
beliefs 1
by 1
called 1
chance 1
cities 1
city 2
comes 1
control 1
convinces 1
country 1
divided 1
dwellers 2
engineering 1
ensues 1
exchange 1
fair 1
falls 1
for 1
forced 1
future 1
genetic 1
given 1
gradually 1
groups 1
gustad 1
have 1
he 3
higher 1
his 2
in 6
includes 1
interested 1
into 1
is 6
j 2
land 1
launch 1
life 2
love 1
machines 1
mayor 1
metals 1
midwest 1
most 1
much 1
muckfeet 5
named 1
near 1
negotiate 1
new 1
no 1
novel 1
of 7
on 1
one 1
place 1
popular 1
population 1
present 1
pretty 1
realizes 1
reexamine 1
reluctantly 1
scarce 1
stranded 1
superiority 1
taken 1
technology 1
that 1
the 12
their 1
to 4
two 1
understand 1
uses 1
wares 1
way 2
when 1
which 1
with 2
woman 1
world 1
york 1
young 1
