34397382
/m/0h_dc15
/m/0h_dc15
Penelope Farmer
1962
a 7
ability 1
able 2
above 1
admit 1
adult 1
adults 1
all 1
an 2
and 12
are 1
as 2
at 2
aviary 1
back 1
be 2
befriend 1
begin 1
birds 2
boy 10
can 2
charlotte 3
child 1
children 9
cost 1
could 1
country 2
days 1
decide 1
decline 1
decorated 1
downs 2
draws 1
elijah 1
emma 1
end 1
england 1
english 1
exception 2
fly 5
flying 1
following 2
forces 1
forever 2
girl 1
go 1
grandfather 1
had 1
hall 1
hallibutt 1
happy 1
has 1
he 4
her 2
herself 1
high 1
him 1
his 1
homes 2
house 2
idyllic 1
images 1
in 3
indeed 1
invisible 1
is 6
journey 1
learn 1
life 1
living 1
loved 1
makepeace 1
meet 1
miss 1
mysterious 1
named 1
neither 1
never 1
new 1
nor 1
not 1
of 4
offers 1
on 2
one 1
ones 1
only 1
other 1
over 1
parents 1
pay 1
prepare 2
price 1
realises 1
remains 1
responsibilities 1
return 3
reveals 1
school 3
schoolteacher 1
she 1
small 1
south 1
southern 1
spend 1
stuffed 1
summer 2
take 2
teach 3
teaches 1
telling 1
tells 2
term 1
that 7
the 29
their 6
them 4
then 1
they 2
this 2
to 21
too 1
travel 1
truth 2
unable 1
village 2
wants 1
way 1
weeks 1
where 1
while 1
who 3
whole 1
will 1
wished 1
with 6
without 1
