33758124
/m/0hhv73t
/m/0hhv73t
Bankim Chandra Chattopadhyay
1866
{"/m/05hgj": "Novel"}
a 9
also 2
and 7
angry 1
annoyed 1
as 2
asked 1
at 3
away 1
began 1
betrayal 1
both 1
bring 1
but 5
by 2
called 1
came 4
come 1
converted 1
day 1
desert 1
disguise 1
expressed 1
fall 1
father 1
first 1
for 1
forest 2
fosterdaughter 1
fosterfather 1
freed 1
from 4
gangasagar 1
gentleman 1
goddess 1
got 3
ground 1
hand 1
he 3
help 1
her 7
herself 1
him 4
his 7
home 2
in 6
intending 1
into 2
islam 1
jumped 2
kali 1
kapalkundala 10
kapalkundalas 1
kill 1
later 2
lost 2
love 2
loves 1
made 2
make 1
making 1
man 1
mans 1
married 1
meantime 1
meet 2
met 3
motibibi 3
mrinmoyee 1
nabakumar 12
nabkumar 1
nearby 1
newlywed 1
next 1
night 1
now 2
of 2
on 2
once 1
only 1
other 1
out 1
padmabati 3
pilgrimage 1
plot 2
priest 2
prove 1
rechristened 1
refused 2
renamed 1
returned 1
returning 1
revealed 1
revenge 1
river 2
sacrifice 1
sacrificial 1
sage 6
sages 1
saptagram 3
save 1
secretly 1
senses 1
separate 1
she 4
showed 2
take 1
tantric 1
that 1
the 16
them 1
then 1
there 1
they 2
to 19
trapped 1
truth 1
unfaithful 1
urged 1
village 1
wanted 2
was 2
way 1
were 1
where 1
while 1
who 2
whom 1
wicked 1
wife 2
with 4
young 1
