4117334
/m/0bk10h
/m/0bk10h
D.J. MacHale
2006-05-16
a 50
about 2
accident 3
added 1
adventures 2
after 5
afterwards 1
again 3
against 3
agrees 1
all 4
allowed 1
along 2
alpha 1
also 10
although 1
an 4
and 51
android 1
andy 6
angry 1
another 2
any 2
anything 1
apart 1
apparently 1
appears 1
arcade 1
are 7
arrives 1
as 10
assassins 1
assistant 1
assumed 1
astonishing 1
at 3
attacked 1
avenge 1
away 3
back 3
battle 1
be 7
beat 1
because 4
been 4
before 3
begin 1
beginning 1
begins 1
being 4
believes 1
betting 1
between 1
biceps 1
big 1
birds 1
black 1
blindfolded 1
blok 9
bobby 34
bond 1
book 1
books 1
both 2
bracelet 1
break 1
bright 1
bully 1
but 8
by 11
call 1
called 12
can 3
captured 2
car 1
carried 1
castle 7
cat 1
causes 1
causing 1
challenger 5
challengers 4
champion 1
changed 1
chased 1
childhood 1
choice 1
city 1
cloral 1
close 1
come 1
comes 2
company 1
compete 2
competing 1
competitiveness 1
computer 1
contains 1
contest 1
contestant 1
continues 1
control 1
convergence 1
convince 1
corporation 1
courtney 15
crashes 1
cube 1
dado 2
dados 6
dane 23
days 1
dead 2
dealing 1
death 1
decide 1
decides 1
decision 1
demonstrated 1
determined 1
device 2
didnt 1
died 1
dies 1
different 3
digital 1
dimond 2
dinner 1
disappeared 2
discover 2
discovers 4
disguise 1
distracted 1
do 2
does 2
doesnt 2
drive 1
driving 1
dump 1
during 1
earth 7
eelong 1
elli 2
empty 1
end 2
ended 1
ends 2
engine 1
enjoying 1
enter 1
entrance 1
escape 2
escaping 2
even 1
evening 1
everywhere 1
explain 1
fall 1
featuring 2
feels 1
few 1
fight 1
filled 1
finally 2
find 2
finding 1
finds 10
first 2
fits 1
flight 2
florida 2
flower 1
flume 7
fly 1
for 5
forced 2
forge 1
form 1
formed 1
former 1
free 1
friend 1
friendly 1
from 16
fuel 1
gain 1
game 8
games 10
gave 1
generations 1
gesture 1
get 1
giant 2
given 1
go 1
goal 1
goes 2
going 2
gone 1
got 1
grab 1
gradually 1
grand 3
green 2
greeted 1
group 1
had 7
happening 1
harsh 1
has 12
have 3
he 45
hearts 1
help 1
helped 1
her 13
here 1
hidden 2
hideout 1
high 1
him 3
himself 2
his 9
history 2
home 1
homes 1
hook 1
hope 2
hospitable 1
how 7
however 5
huge 3
husband 1
hypnotising 1
ibara 2
idea 3
ideas 1
if 1
immediately 2
impossible 1
in 23
incident 1
incinerate 1
including 1
inconspicuous 1
inevitable 1
initials 1
intact 1
into 9
introduced 1
invention 2
is 40
it 11
its 2
itself 1
journal 1
journals 2
jumping 1
just 4
kayto 1
keep 1
kidnapped 1
kill 1
killed 2
killing 1
kittens 1
laberge 4
last 2
later 4
leaders 1
learn 1
learns 10
leave 1
leaves 1
left 2
library 2
life 4
like 3
likely 1
live 1
location 2
long 1
loop 2
loor 1
lose 2
losers 1
loses 1
loss 1
lost 1
lot 1
made 1
majority 1
make 3
makes 2
man 2
managed 1
many 2
mark 13
match 1
may 1
means 1
meanwhile 1
meeting 1
meets 1
mentions 1
middle 1
mitchell 4
mix 1
more 4
most 2
mother 1
motor 1
mr 4
much 2
