17352127
/m/043kxvl
/m/043kxvl
Jackie Collins
2007
a 5
ace 1
against 1
ago 1
air 1
also 1
an 1
and 1
anthony 1
arranging 1
as 3
away 1
be 1
bear 1
bel 1
big 1
bonar 1
bonatti 1
boy 2
cast 1
character 1
daughter 1
day 1
deaths 1
developed 1
didnt 1
enzio 1
exboyfriend 1
family 1
father 1
few 1
focuses 1
for 3
from 1
grandfather 1
grandson 1
has 1
hatred 1
henry 2
her 1
him 1
his 1
home 1
hopes 1
however 1
in 2
internet 1
is 2
jealous 1
known 1
lucky 3
making 1
man 1
many 1
maria 1
max 3
meet 1
meeting 1
meets 1
middleaged 1
miles 1
mother 1
movie 1
mysterious 1
mystery 1
named 1
nineteen 1
of 3
old 1
on 3
out 1
rebellious 1
responsible 1
revenge 1
santangelo 2
seeking 1
she 2
story 1
teenager 1
the 10
to 2
turns 1
up 1
which 1
who 2
with 1
year 1
years 1
