10951
/m/02yqq
/m/02yqq
Ray Bradbury
1953
17yearold 1
24 1
a 44
about 7
above 1
abridged 1
absorb 1
accepts 1
accidental 1
accidentally 1
accommodate 1
accuses 1
actions 1
activities 2
acts 1
actually 1
addiction 1
adding 1
address 1
afraid 1
after 7
again 1
ago 2
alarm 1
alcohol 1
alive 1
all 3
alongside 1
aloud 1
american 1
an 8
and 80
another 2
any 2
anything 2
apart 1
apathy 2
appear 1
are 4
argues 1
around 1
arrest 1
as 14
asking 1
asks 2
assures 1
asylums 1
at 9
attack 1
attacks 1
attempt 1
attention 2
authors 2
away 4
back 2
band 1
bashed 1
bastardized 1
bathroom 2
be 4
beach 1
beatty 13
became 1
because 1
become 3
bed 2
bedroom 2
been 2
before 6
began 1
beginning 1
begins 2
begs 1
being 5
believe 1
better 1
biblical 1
bit 1
black 1
blander 2
blood 1
bloody 1
bombers 1
bonds 1
book 8
booklovers 1
books 22
boss 1
bothered 1
bothers 1
bottle 1
bowles 2
breakfast 2
breaks 1
bring 1
brings 1
brushes 1
built 1
burn 3
burned 3
burns 2
but 13
by 14
call 2
called 1
calls 1
can 7
cant 2
captain 1
captionless 1
car 1
casual 1
catches 1
caught 1
cause 1
ceiling 1
censorship 1
characters 1
cheery 1
chief 2
chooses 1
city 3
civil 1
claiming 1
clarisse 13
clown 1
cobra 1
come 1
comes 2
comics 1
coming 1
commonplace 1
communicator 1
complaining 1
comprehend 1
concerned 2
confused 1
constantly 1
contact 1
contains 1
content 1
controversial 1
conversation 2
copies 1
copy 1
could 1
countryside 2
course 1
cover 1
cowardice 1
coworkers 1
crazy 1
create 1
crew 1
criticizing 1
critics 1
cry 2
curious 1
cycle 1
cynical 1
daily 1
dawn 1
day 3
days 3
dead 1
death 5
decades 1
degraded 1
demolition 1
denies 2
department 1
derby 1
describing 1
despite 2
destroy 1
destroyed 1
destroying 1
destroys 1
destruction 1
didnt 1
died 1
discovers 2
discusses 1
disgusted 1
disillusionment 1
dispatcher 1
disturbed 1
do 2
doesnt 5
doing 1
dominated 1
dover 1
down 4
downstream 1
dragged 1
dream 2
drinking 1
drives 1
driving 1
drops 1
due 3
during 3
duty 1
each 1
ear 2
earlier 1
earpiece 2
either 1
embraced 1
emotion 1
emotionally 1
empty 2
encounter 2
endless 1
endlessly 1
ends 2
engages 1
engaging 1
engine 1
engines 1
english 2
engulfed 1
enormous 1
enters 1
entertainment 2
enthusiastic 1
escapes 1
even 1
event 1
eventually 1
every 1
exactly 1
exile 1
exiled 1
exiles 1
existence 1
experience 1
explain 1
faber 11
factory 1
falling 1
families 1
family 2
feel 1
feeling 1
few 4
final 2
finally 1
find 1
finds 2
finish 1
fire 3
firehouse 4
fireman 1
firemen 8
fireresistant 1
first 2
fit 1
flames 2
flamethrower 3
flee 1
flees 2
floating 1
floor 1
floortoceiling 1
fluff 1
flush 1
fly 1
followed 1
following 1
foot 1
for 11
force 1
form 1
former 1
fought 1
four 1
fresh 1
friends 4
friendship 1
from 13
funny 1
gave 1
genuinely 1
get 1
gets 3
getting 1
girl 1
given 1
gives 1
giving 1
go 2
god 1
goes 3
going 2
government 1
granger 2
grew 1
grim 1
group 1
groups 1
guidance 1
guy 1
had 2
halfasleep 1
happened 3
happy 1
has 13
hasnt 1
have 7
he 17
heads 1
heard 1
helicopters 1
help 1
helplessly 1
her 29
herself 2
hidden 2
hides 1
him 15
himself 2
his 21
hits 1
hoarding 1
home 5
hound 3
hours 1
house 13
houses 1
how 6
however 2
human 1
hungry 1
hunt 1
hurting 1
if 6
ignorance 1
ignores 1
ill 1
implemented 1
importance 1
in 29
incessant 1
incinerate 1
incinerated 1
indifferent 1
inferior 1
information 1
initially 2
inject 1
insane 1
inside 2
insists 1
instead 1
intellectual 1
intellectuals 1
interactive 2
interest 1
interrupted 1
into 6
involving 1
is 19
isnt 1
issue 1
it 16
its 4
itself 2
jarring 1
jesus 1
jet 2
job 1
jumping 1
just 2
kerosene 3
kitchen 1
knowledge 1
knows 1
laments 1
large 1
later 2
laughing 2
leader 1
leads 1
leave 2
leaves 4
left 2
leg 1
legendary 1
life 2
lights 2
like 1
liked 1
limps 1
line 1
literature 2
live 1
lived 1
lives 1
living 1
locked 1
locks 1
