25640132
/m/05qg_31
/m/05qg_31
Julia Sauer
1943
a 2
able 2
addington 1
addingtons 1
all 1
and 4
are 1
as 1
back 1
based 1
be 1
become 1
birthday 1
blue 2
buildings 1
but 2
can 1
centers 1
child 1
coming 1
cove 3
eager 1
elevenyearold 1
especially 1
every 1
experience 1
fair 1
fantasy 1
fog 1
foggy 1
for 1
former 1
friend 1
friends 1
from 1
generation 1
give 1
go 1
greta 4
has 2
her 4
in 5
inhabitants 1
is 3
it 1
its 1
kitten 1
leaves 1
life 1
little 1
magic 1
many 1
mountain 1
never 1
night 2
nova 2
of 4
on 3
one 1
over 1
people 1
play 1
real 1
realizing 1
refer 1
return 1
river 1
rolls 1
ruined 1
sauer 1
scotia 2
sees 1
setting 1
she 4
special 1
spent 1
story 1
summers 1
that 1
the 9
there 2
till 1
time 1
to 8
town 1
travel 1
twelfth 1
village 2
visit 1
wait 1
weather 1
when 1
where 1
while 1
white 1
will 1
with 1
