1841204
/m/06047p
/m/06047p
Eve Garnett
1937
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
2 1
41 1
612 1
a 39
about 2
acceptance 1
accuse 1
adventure 2
afford 2
after 3
afternoon 1
again 1
age 1
allow 1
allowance 1
also 1
always 1
ambitious 1
amidst 1
amused 1
an 4
and 27
annual 1
another 1
are 3
area 1
around 2
arrive 1
artificial 1
as 8
aside 1
ask 1
asks 1
asleep 2
at 6
author 1
awaits 1
awaken 1
away 1
baby 1
back 2
barge 1
bargeloading 1
basket 2
be 1
beaseley 3
beaseleys 1
been 1
before 2
begins 1
begs 1
being 2
believe 1
believes 1
belonged 1
bernard 1
bill 1
birthday 1
black 1
boys 1
brother 2
building 1
burst 1
bus 1
but 6
buy 1
by 4
cake 1
call 1
called 1
can 1
cannot 3
captured 1
car 5
carried 1
cart 2
carthorse 2
cartoons 1
castle 1
castles 1
catches 2
category 1
challenge 1
charlie 1
checking 1
child 3
children 1
cinema 1
clients 1
climb 1
climbs 1
coffeechocolate 1
colors 1
comes 1
competition 1
competitor 1
concerned 2
consider 1
cook 1
correcting 1
couple 1
coworker 1
cream 1
cultivated 1
cup 1
customers 1
day 1
decides 1
delights 1
do 1
does 3
dog 2
drain 1
drive 1
driven 1
due 1
during 1
dustbins 1
early 1
eleven 1
embarks 1
employed 1
empty 1
end 1
enjoys 1
enough 2
entered 2
envelope 1
escapes 1
every 1
examinations 1
expenses 1
explain 1
explains 1
extra 1
fallen 1
falls 1
families 1
family 6
fan 2
farmer 2
father 1
festivities 1
filled 1
find 4
finding 1
first 1
flying 1
follows 1
for 11
foreman 1
fortnight 1
fortunately 1
found 1
fourpence 1
friend 1
friendly 1
friends 1
from 2
furious 1
games 1
gang 4
garment 1
gasworks 1
get 1
girl 1
give 2
gives 1
goes 2
goodies 1
grand 1
great 1
guide 1
had 2
hailstorm 1
hands 1
happened 1
has 10
hat 2
have 2
he 17
heads 1
help 1
henry 1
henrys 1
her 14
hides 1
him 11
his 13
home 6
hope 1
horse 4
hours 1
house 1
how 1
huge 1
ice 1
ie 1
if 1
in 16
incoming 1
incorrectly 1
incur 1
inside 1
instead 2
into 4
invite 1
invited 1
iron 1
ironing 1
is 15
it 4
jim 6
jims 1
jo 2
john 6
join 1
jr 1
just 1
kate 4
kiln 1
know 1
larger 1
late 1
later 2
laundry 1
lawrences 3
leftover 1
let 1
lily 3
lime 1
little 1
loaded 1
local 3
london 1
longer 1
lose 1
lost 1
made 1
majestic 1
make 1
manages 1
meet 1
meets 1
member 1
members 2
men 1
mickey 1
miles 1
mind 2
mishap 1
mistakes 1
money 2
months 1
more 1
morning 1
most 1
mother 3
mouse 1
mouth 1
mr 4
mrs 5
mrshort 1
mushrooms 5
music 1
musicians 1
must 1
named 1
new 1
newhaven 1
next 3
nor 1
not 3
now 1
oates 1
of 18
off 3
old 1
older 2
on 7
one 7
ones 1
only 3
onto 1
opens 1
or 1
orchestra 2
order 2
organ 1
otwell 1
out 4
outing 2
own 1
paperwork 2
parade 4
parcel 1
parcels 1
parents 1
park 3
participate 1
party 2
passed 1
pay 1
perfect 1
petticoat 1
pick 1
picnic 1
pipe 4
pipes 1
pit 1
place 1
plays 1
plus 1
points 1
police 1
posh 1
pound 1
promise 1
pulls 1
rainstorm 1
real 1
realize 1
recovered 1
regent 2
regularly 1
relates 1
return 2
reward 1
rose 3
route 1
ruggle 1
ruggles 10
rush 1
safe 1
salthaven 2
same 1
saturday 2
says 1
scholarship 2
school 5
sea 1
seaport 1
seaside 1
seat 1
see 1
sell 2
send 2
sends 2
seven 1
several 3
shaw 1
she 11
shelter 3
shilling 1
shop 1
show 2
shower 1
shrinks 1
silk 1
similar 1
sixpence 1
slight 1
slightly 1
sneaked 1
sneaks 1
some 2
son 1
soon 1
spend 2
spends 1
spying 1
stabling 1
stated 1
station 1
stolen 1
story 1
stowaway 1
sundaes 1
supposed 1
surprise 2
sussex 1
symphony 1
take 2
takes 2
taking 1
tea 1
tearfully 1
ted 1
teeth 1
teether 1
telegram 1
tell 1
tells 1
than 1
that 6
the 73
theater 2
their 5
them 3
themselves 1
there 1
they 12
theyve 1
this 2
though 1
tide 1
time 1
to 35
too 1
toohot 1
tooth 1
train 2
travel 1
tries 1
trusted 1
turn 1
turning 1
twelveyearold 1
twin 1
twins 1
two 1
understanding 1
unfortunately 2
until 1
uses 2
venue 1
visitors 1
visits 1
wanted 1
wants 1
warning 1
was 3
wasnt 1
watkins 3
wearing 1
week 4
wharf 1
wharfs 1
what 1
when 4
where 4
which 3
while 1
who 3
whose 1
why 1
wild 1
will 2
william 2
wins 2
with 5
without 1
yet 1
young 2
younger 1
youngest 1
