1378709
/m/04xzw8
/m/04xzw8
Jared Diamond
2005
{"/m/05h83": "Non-fiction"}
12 1
146 1
a 3
about 1
absurd 1
accidentally 1
adapt 1
all 2
alone 1
also 3
an 1
ancient 1
and 6
anthropogenic 1
apparent 1
as 2
bc 1
be 2
buildup 1
but 1
by 1
capacity 2
carrying 1
carthage 1
change 2
claim 1
climate 2
collapse 6
collapses 1
contribute 2
contributed 1
counterexample 1
cultural 1
damage 1
deforestation 1
destruction 2
diamond 5
earths 1
eat 1
economic 1
effect 1
effects 1
eight 1
energy 1
environment 2
environmental 4
erosion 1
essential 1
facing 1
factor 2
factors 5
failure 1
fertility 1
first 1
fish 1
five 1
four 1
full 1
further 1
future 1
greenland 1
habitat 1
harmful 1
have 1
he 2
his 1
historically 1
hostile 1
human 1
ideal 1
identifies 1
impact 1
in 6
increased 1
intentionally 1
introduced 1
introducing 1
is 4
issues 1
it 2
leading 1
lists 1
losses 1
major 1
management 1
mankind 1
may 2
methodology 1
military 1
modern 1
must 1
native 1
neighbors 1
new 1
nonnative 1
norse 1
not 1
obviously 1
of 13
on 1
one 4
opposed 1
or 2
overfishing 1
overhunting 1
overpopulation 3
paragraph 1
partners 1
past 1
people 1
percapita 1
photosynthetic 1
pnbsp15 1
practicable 1
present 1
problem 1
problems 4
prologue 1
region 1
related 1
relative 1
reluctance 1
rome 1
root 1
salinization 1
says 1
shortages 1
societies 2
soil 2
soviet 1
species 3
states 1
such 1
suffice 1
summarizes 1
that 4
the 17
theoretical 1
to 12
today 1
toxins 1
trading 1
true 1
union 1
utilization 1
water 1
weakening 1
would 1
writes 1
