8914014
/m/027pfr4
/m/027pfr4
Eileen Wilks
2005-11-01
{"/m/014dfn": "Speculative fiction", "/m/02vzzv": "Urban fantasy", "/m/01qxvh": "Romance novel", "/m/072lff": "Paranormal romance"}
a 8
advice 1
agent 1
all 1
an 3
ancient 1
and 5
any 1
be 2
bent 1
between 1
blink 1
bond 1
both 1
bringing 1
but 2
caught 1
charismatic 1
collides 1
complicates 1
cop 1
could 1
country 1
crimes 1
cult 1
decision 1
divides 1
division 1
doesnt 2
down 1
evil 1
eye 1
fbi 1
flares 1
for 2
forever 1
former 1
frightening 1
grandmother 1
happens 1
harlowe 2
has 2
her 5
herselfor 1
him 1
his 1
homicide 1
hope 1
hunt 1
in 3
into 2
involved 1
is 4
job 1
just 1
know 1
leader 1
life 1
lily 6
little 1
lost 1
lot 1
magical 2
man 1
mate 1
matters 1
maybe 1
missing 1
new 1
now 1
of 4
old 1
on 2
only 2
passion 1
people 1
plate 1
powers 1
prince 1
reality 1
realize 1
really 1
rule 2
ruleand 1
set 1
she 5
should 1
sister 1
special 1
staff 1
sudden 1
that 3
the 7
them 2
then 1
there 1
thrust 1
tied 1
to 5
trapfor 1
trust 1
turn 1
turner 1
unbreakable 1
unit 1
unknown 1
unthinkable 1
use 1
visit 1
wedding 1
werewolf 1
what 1
when 1
will 2
with 2
world 2
yet 1
yu 1
