3681906
/m/09v58d
/m/09v58d
Catherine Asaro
2005-08-30
16yearold 1
25 1
a 4
about 2
academy 1
after 2
already 1
althor 2
and 5
archers 1
aristo 1
assembly 1
at 1
aunt 1
away 1
back 1
become 2
being 1
blue 1
book 1
both 1
brother 1
but 1
by 1
captured 1
chance 1
characters 1
children 2
crippled 1
dale 1
death 1
destroy 1
discord 1
disobeys 1
disowns 1
during 1
dyhianna 1
dynasty 1
eldrin 1
eldrinson 3
enter 1
events 1
family 1
father 1
firstborn 1
for 3
from 2
girl 1
had 1
happily 1
harsh 1
has 2
have 2
he 4
her 4
his 7
home 2
homeworld 1
immediately 1
in 1
infiltrated 1
is 2
jagernaut 2
kin 1
landlord 1
leaving 1
left 1
like 2
little 1
live 1
living 1
local 1
lost 1
lyshriol 3
main 1
married 1
marry 1
military 2
mystic 1
nearly 1
no 1
novel 2
of 4
offworld 1
oldest 1
on 2
or 1
other 1
perspective 1
pharaoh 1
place 1
plans 1
prefer 1
previous 1
rather 1
regrets 1
request 1
roca 1
ruby 2
runs 1
sadistic 1
safely 1
sauscony 1
searching 1
second 1
see 1
selei 1
several 1
shannon 2
she 1
sixth 1
skolia 1
skolian 1
skyfall 1
some 1
son 2
soon 1
soz 2
take 1
takes 1
taking 1
teenage 1
ten 1
the 16
their 1
them 2
though 1
to 9
told 1
tortured 1
training 2
unhappy 1
valdoria 2
wants 1
when 1
who 3
wife 1
words 1
would 1
years 1
young 1
