31045672
/m/0gg49hm
/m/0gg49hm
John Barnes
2011
a 3
actor 1
aims 1
an 3
and 3
any 1
are 2
attained 1
away 1
big 1
book 1
both 1
but 1
by 1
carrying 1
conductors 1
conscious 1
coordinated 1
create 1
critical 1
daybreak 1
desire 1
destroys 1
diverse 1
eats 1
electricity 1
emergent 1
end 1
future 1
groups 2
in 2
is 1
mass 1
meme 1
metal 1
modern 1
motivation 1
nanotech 1
near 1
of 1
open 1
or 1
overlapping 1
plague 1
plastics 1
property 1
question 1
rubber 1
shared 1
society 1
some 1
system 1
technological 1
that 1
the 3
their 1
these 1
they 1
to 1
variety 1
whether 2
which 1
with 1
