17647828
/m/0463l4t
/m/0463l4t
Victor Appleton
1918
a 3
about 1
aerial 1
appears 1
are 1
art 1
base 1
be 2
been 1
being 1
bit 1
bonds 1
causes 1
close 2
combat 2
concerns 2
country 1
developing 1
development 1
does 3
doing 1
down 1
draft 1
enlisted 1
even 3
everyone 2
except 1
fever 1
for 3
friends 1
from 1
fulltime 1
german 1
great 1
has 3
have 1
he 2
his 4
hoping 1
idle 1
in 4
is 5
it 1
job 1
joins 1
know 1
learning 1
let 2
liberty 1
many 2
men 1
military 1
nationals 1
ned 1
new 1
newton 1
not 3
of 2
or 1
patriotism 1
pilots 1
project 1
quit 1
raised 1
raises 1
reason 1
secret 2
secretly 1
seems 2
sell 1
shopton 1
slacker 1
so 1
soldiers 1
states 1
steal 1
stop 1
swift 1
tank 2
that 5
the 9
their 1
though 1
to 5
tom 5
training 1
trench 1
trying 1
united 1
use 1
war 2
warfare 1
when 1
which 2
while 1
young 1
