4641452
/m/0cf22c
/m/0cf22c
Tim Winton
1994
6 1
a 1
airport 1
alone 1
an 1
and 6
are 1
around 1
arrive 1
arrives 1
as 2
at 1
australia 1
australian 1
billie 3
but 1
cottage 1
daughter 2
due 1
europe 1
father 1
find 1
follows 1
fred 1
from 1
happened 1
has 1
have 2
he 1
her 3
his 3
in 2
ireland 2
is 1
jennifer 2
known 1
left 1
man 1
mother 1
move 1
of 2
old 1
on 1
only 1
or 1
out 1
plane 1
planned 1
previous 1
purchased 1
put 1
retracing 1
riders 1
scully 3
she 1
steps 1
story 2
tell 1
tells 1
the 6
their 1
them 1
then 1
they 2
to 5
traumatised 1
travel 2
trying 1
unable 1
what 1
why 2
wife 2
work 1
year 1
