10815027
/m/02qqx88
/m/02qqx88
Evangeline Walton
1972
a 5
advice 1
again 2
against 1
agrees 1
all 1
ally 1
an 2
and 16
animals 1
apart 1
are 2
as 2
asked 1
at 1
attendants 1
be 1
become 1
befalls 1
befell 1
before 1
boar 1
bowl 1
but 2
by 3
can 1
cannot 1
captives 1
captured 1
castle 2
catches 1
children 1
cigfa 2
clinging 1
compete 1
craftsmen 1
crops 1
curse 1
day 1
death 1
decides 1
demands 1
descends 1
destroyed 4
disappears 1
does 1
domesticated 1
drive 1
dyved 5
empty 1
enchantment 2
family 1
fate 1
father 1
field 2
fields 1
finally 1
finds 1
first 2
follow 1
for 3
forced 1
four 1
freed 1
from 3
gifts 1
goes 2
gwawl 1
gwawls 1
had 2
hang 1
harvested 1
he 6
her 1
him 1
himself 1
his 4
humans 1
hunters 1
hunting 1
if 1
in 4
inside 1
investigate 1
is 5
it 4
killed 1
land 2
larger 1
last 1
leave 1
leaving 1
life 1
lifting 1
living 1
llogres 2
llwyd 1
llwyds 1
llyr 1
local 1
magically 1
make 1
making 1
manawyddan 8
manawyddans 1
marries 1
mice 2
mother 1
mouse 2
move 1
mysterious 1
next 2
night 1
not 1
of 12
offer 1
on 2
once 2
one 2
over 1
own 1
placed 1
pregnant 1
prince 1
protagonists 1
pryderi 7
pryderis 1
pwyll 1
quality 1
realm 2
refuses 1
release 1
restored 1
return 5
returns 1
reunited 1
reveals 1
rhiannon 3
saddles 1
same 1
second 1
sees 1
shields 1
shoemakers 1
shoes 1
so 1
sow 1
spare 1
speak 1
stranger 2
strangers 1
succession 1
such 1
support 1
survivor 1
terms 1
that 2
the 27
theft 1
their 1
them 2
themselves 1
then 1
there 1
these 1
they 5
third 2
three 2
to 14
town 2
tragedy 1
transformed 1
turn 1
unable 1
up 1
vengeance 1
wake 1
wasteland 1
watches 1
were 1
what 1
wheat 1
where 1
white 1
who 1
whom 1
wife 2
will 1
wishes 1
with 2
work 1
