10021083
/m/02p_1bj
/m/02p_1bj
Ken Kesey
1964-07-27
a 5
against 2
all 2
an 1
and 14
are 1
arsenal 1
as 1
away 2
back 1
background 1
bags 1
been 1
begins 1
behavior 1
boards 1
brandished 1
brother 1
but 3
by 2
cables 1
causes 1
centers 1
chainsaw 1
characters 1
clan 1
coast 1
company 1
constant 1
consumed 1
continue 1
current 1
decides 1
decision 2
decreasing 1
deeply 1
defined 1
demand 1
desire 1
desires 1
details 1
due 1
dynamic 1
east 1
eccentric 1
either 1
encroaching 1
erosion 1
every 1
examination 1
except 1
explored 1
fades 1
family 7
fictional 1
fight 1
following 1
for 4
from 2
give 1
go 1
had 1
half 1
halfcrazed 1
hank 4
hardheaded 1
has 1
have 2
help 1
henry 4
her 2
him 3
his 4
historical 1
hours 1
house 2
household 1
houses 1
however 1
husband 1
in 8
inch 2
insecurities 1
intellect 1
introduction 1
items 1
its 2
itself 1
labor 1
laborers 1
land 1
lead 1
leader 1
led 1
leland 1
loggers 1
logging 1
love 1
lumber 1
maintain 1
make 1
manifests 1
mill 1
miscellaneous 1
motto 1
moved 1
multilayered 1
nature 2
nearby 1
need 1
never 1
not 2
occurred 1
of 16
old 1
oldest 1
on 4
only 1
operates 1
or 2
oregon 2
other 2
owned 1
owns 1
patriarch 1
pay 1
peninsula 1
personality 1
physical 1
place 1
precarious 1
quickly 1
realize 1
regionally 1
relationship 1
response 1
revenge 1
river 3
same 1
sand 1
she 1
shorter 1
slowly 1
son 2
stability 1
stamper 7
stands 1
story 1
strike 2
strong 1
struggling 1
stubbornness 1
studyespecially 1
subtle 1
supplied 1
supply 1
surrounding 1
the 39
this 2
threaten 1
to 8
town 3
true 1
union 1
unions 1
viv 1
wakonda 2
waters 1
weaknesses 1
when 1
which 1
whose 5
widens 1
will 1
with 3
without 1
work 1
would 1
wrecked 1
younger 1
