20857540
/m/056ns0z
/m/056ns0z
Margret Rey
1941
{"/m/0dwly": "Children's literature"}
a 6
aboard 1
all 1
and 8
away 1
balloon 1
balloons 2
big 1
birds 1
bunch 1
but 2
buys 1
called 1
calls 1
captures 1
city 1
descends 1
dies 1
down 1
entire 1
escapes 1
falls 1
finally 1
fire 1
for 1
from 2
george 6
goes 1
grab 1
hat 1
he 3
high 1
him 1
home 2
imitating 1
in 1
inadvertently 1
into 3
is 2
jail 2
jungle 1
landing 1
later 1
luckily 1
man 3
monkey 2
new 1
on 1
plays 1
port 1
puts 1
rescued 1
rescues 1
sail 1
sails 1
sea 1
ship 2
signal 1
sky 1
some 1
station 1
taken 1
takes 2
telephone 1
the 17
they 1
to 3
traffic 1
tries 1
unfortunately 1
vendor 2
while 1
wind 1
with 3
yellow 1
zoo 1
