6833929
/m/0grnym
/m/0grnym
Terry Brooks
1992-03
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 7
accident 1
acquaintance 1
addershag 1
addicted 1
after 1
all 1
allanon 1
an 3
and 18
appearing 1
arborlon 3
are 2
army 1
as 2
at 1
aurin 1
avoid 1
became 1
because 1
become 2
becomes 1
been 1
before 1
befriend 1
began 1
birth 1
blood 1
but 3
by 2
captain 1
carried 1
catch 1
charged 1
city 2
clear 1
closest 1
companions 2
company 2
cort 1
cousin 1
created 2
current 2
dal 1
death 1
demons 4
descendant 1
destroying 1
dies 1
discovers 1
distant 1
drakuls 1
druid 1
elessedil 4
elf 2
ellenroh 5
elven 2
elves 9
eowen 2
erupts 1
exist 1
failing 1
fatally 1
faun 2
federation 1
finally 1
find 1
flees 1
for 1
four 2
friend 2
from 1
garth 3
gathers 1
gavilan 1
grandmother 1
guard 1
had 1
has 1
help 1
her 5
home 1
how 1
hundred 1
hunters 1
if 1
ill 1
in 4
informs 1
inherit 1
into 2
is 4
island 5
its 2
jerle 1
journey 1
keeps 1
knew 1
landing 1
lands 2
leads 1
learns 1
legendary 1
locate 1
location 1
loden 3
loses 1
lost 1
magic 3
maternal 1
might 1
more 1
morrowindl 4
nation 1
nephew 1
nine 1
no 1
not 3
of 14
ohmsford 1
on 4
one 3
only 3
original 1
orphaned 1
out 1
past 1
power 1
prison 1
protect 1
queen 5
raised 1
reach 1
reached 1
regaining 1
remain 1
replica 1
restores 1
return 1
returned 1
reveals 2
rider 1
rover 1
safe 1
seen 1
set 1
shade 1
shannara 1
she 7
since 1
site 1
small 1
soon 1
splinterscat 1
squeak 1
still 1
stresa 2
striate 1
succeeded 1
survive 1
than 1
that 6
the 44
their 3
them 1
themexcept 1
they 4
though 1
tiger 2
to 14
told 1
transformed 1
travel 1
tree 1
triss 2
true 1
trying 1
ty 2
upon 1
volcano 1
was 3
way 1
were 1
westland 3
westlands 1
when 2
where 2
who 1
will 1
wing 1
wisteron 1
with 1
wren 11
years 1
