3414300
/m/09b7ds
/m/09b7ds
Anne Tyler
1995
a 6
about 1
act 1
also 1
and 4
anger 1
as 3
battles 1
beach 1
comes 1
considering 1
damaging 1
deals 2
deep 1
delia 1
dire 1
does 1
during 1
entering 1
familial 1
family 2
financial 1
finds 1
follows 1
grinstead 1
her 5
herself 3
husband 1
important 1
in 3
is 2
issues 1
life 1
most 1
narrative 1
not 1
novel 1
of 1
on 1
only 1
out 1
own 1
places 1
psychologically 1
put 1
relationships 1
sadness 1
selfidentity 1
she 6
situation 2
spontaneous 1
terms 1
the 2
these 1
this 1
to 1
vacation 1
walks 1
what 1
who 1
with 5
woman 1
workforce 1
