1342669
/m/04v6z_
/m/04v6z_
Ernest Hemingway
1935
1 1
2 1
3 1
4 1
52nbspinches 1
a 10
about 2
action 1
adventures 1
africa 1
african 1
american 1
an 1
and 9
are 1
arrive 1
as 3
at 1
authors 1
back 1
between 1
bigger 2
book 1
brother 1
bull 1
but 1
camp 1
complains 1
consider 1
conversation 2
country 2
day 1
described 1
describes 2
description 1
descriptions 1
discovers 1
discussion 1
dostoevsky 1
dress 1
east 2
european 2
expat 1
failure 1
field 1
find 1
flashback 1
flaubert 1
generally 1
guides 1
happiness 1
he 6
hemingway 7
him 1
his 1
horns 2
how 1
huge 1
hunter 1
hunters 2
hunting 3
in 9
infinite 1
interspersed 1
is 2
jealousy 1
karl 3
killed 1
kills 3
kudu 3
lake 1
landscape 1
last 1
learns 1
literary 1
literature 1
luck 1
many 1
manyara 1
moves 2
much 1
narrative 1
native 2
northern 1
of 9
on 1
one 1
other 1
part 4
piece 1
present 1
presents 1
prey 1
pursuit 4
region 1
relations 1
remembered 1
returns 1
rhino 1
rift 1
ruminations 1
seemingly 1
some 1
starts 1
stendhal 1
such 1
tanzania 2
terrible 1
that 3
the 13
there 1
to 5
tolstoy 1
trackers 3
tracks 1
unable 1
unlucky 1
untouched 1
valley 1
virgin 1
well 1
white 1
with 9
writers 2
