14321313
/m/03d0gjd
/m/03d0gjd
Connie Lapallo
2006
a 4
already 1
and 9
are 2
at 1
attack 1
become 1
begins 1
behind 1
causing 1
cecily 1
cheerful 1
cross 1
daughter 2
decision 1
dies 1
different 1
disease 1
early 1
earn 1
elizabeth 2
enough 1
eventually 1
first 1
her 5
highly 1
house 1
hurricane 1
husband 1
in 1
irritable 1
is 1
jamestown 2
jane 2
joan 4
kind 1
land 1
lands 1
leaving 1
live 1
maggie 2
make 1
marriage 1
marries 1
meets 1
memories 1
neighbor 1
old 1
on 1
own 1
peirce 1
placed 1
right 1
sails 1
sea 1
separated 1
settlers 1
share 1
she 3
ship 3
ships 1
starvation 1
story 1
struggling 1
survive 1
tempie 1
than 1
the 8
they 2
through 1
to 5
together 2
until 1
where 2
will 2
with 2
woman 1
work 1
younger 1
