76028
/m/0k2wn
/m/0k2wn
Anthony Hope
1894
{"/m/03g3w": "History", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/05hgj": "Novel"}
a 2
abducted 1
among 1
an 2
and 6
antoinette 1
are 1
at 1
attempt 2
attendants 1
betrothed 1
bound 1
brother 1
but 3
cannot 1
castle 2
claim 1
colonel 1
complications 1
coronation 2
count 1
counterplots 1
cousin 1
dashing 1
de 1
desperate 1
determines 1
drugged 1
duty 1
english 1
enter 1
eve 1
excuse 1
falls 1
flavia 1
forever 1
fritz 1
give 1
has 1
he 1
henchman 1
hentzau 1
her 1
him 1
his 4
identical 1
impersonate 1
imprisoned 1
in 5
is 3
king 7
leads 1
love 1
lovers 1
mauban 1
michael 3
mistress 1
must 1
not 1
of 9
on 1
part 1
persuade 1
plots 1
prince 1
princess 1
rassendyll 2
rescue 1
rescued 1
restored 1
rudolf 2
rupert 1
ruritania 1
sapt 1
schemes 1
small 1
tarlenheim 1
tell 1
the 16
them 1
there 1
those 1
throne 2
to 6
town 1
truth 1
unconscious 1
villainous 1
visitor 1
von 1
with 1
zenda 2
