3347935
/m/0970nk
/m/0970nk
Danielle Steel
2000-04
{"/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel"}
a 8
after 1
air 1
alan 1
allegra 3
although 1
an 1
and 9
are 1
as 1
aspiring 1
at 1
attraction 1
becomes 1
been 1
before 1
bel 1
best 1
between 1
blaire 1
boyfriend 1
brandon 2
business 2
by 1
career 1
carr 1
ceremony 1
chance 1
cheating 1
chemistry 1
client 1
couple 1
daughter 1
death 1
discovers 1
does 1
engaged 1
entertainment 1
faced 1
family 1
father 1
finds 1
for 1
forgiveness 1
friend 1
hamiliton 1
has 2
have 1
heartthrob 1
her 6
herself 1
hollywood 1
home 1
hope 1
however 1
in 2
including 2
is 3
jeff 2
lawyer 1
life 1
long 1
looms 1
loves 1
many 1
meets 2
model 1
movie 1
new 1
not 1
of 3
on 2
pair 1
parents 1
people 1
perfect 1
personal 1
planning 1
pregnancy 1
problems 1
producer 1
pursue 1
reconciliation 1
return 1
romantic 1
samantha 1
satisfying 1
scott 1
seems 1
september 1
she 5
simon 1
sister 1
steinberg 2
successful 1
surrounded 1
television 1
that 1
the 8
their 1
there 1
to 1
trip 1
up 1
wedding 2
while 1
who 1
with 2
writer 2
york 1
