24089712
/m/07k4_8h
/m/07k4_8h
Edith Pargeter
1981-05
{"/m/0lsxr": "Crime Fiction", "/m/0py65": "Historical whodunnit"}
113 3
13 1
30 1
31 1
a 37
abbey 6
abbot 4
abbots 1
ablaze 1
about 3
abroad 1
accepts 1
accompanies 1
across 2
acted 2
actions 2
adhere 1
adhering 1
administer 1
admits 1
advantage 1
after 5
afterwards 2
again 1
against 2
agrees 1
aid 2
air 1
ale 1
alibi 3
aline 6
alone 1
already 1
among 1
an 6
and 55
another 1
antique 1
any 1
anyone 1
appeal 1
appeared 1
appears 1
approach 1
approval 1
archer 3
are 6
arm 3
arrests 1
arrive 4
arrived 1
arrives 4
arrow 1
arundel 1
as 12
asked 1
asks 4
assessment 1
assure 1
at 19
attached 1
attack 1
attempt 2
away 1
axe 1
back 3
baggage 1
bandaged 1
barrels 1
basically 1
battle 1
be 5
bearing 1
beauty 1
been 3
before 3
behalf 1
behind 1
being 1
believe 2
believes 2
beringar 4
between 2
blade 1
blindfolded 1
bloom 1
blow 1
boat 6
bodes 1
body 2
booth 2
both 5
bottle 1
bound 1
braiser 1
brazier 2
breaks 2
breathe 1
brief 1
bring 1
bristol 10
broke 1
broken 3
brother 3
brought 1
brutally 1
building 1
burning 1
burns 3
business 2
but 8
by 21
cadfael 33
called 1
came 2
camp 1
can 2
cannot 2
carefully 1
carpenter 1
carry 2
carrying 1
castle 1
cause 4
celebrate 1
changes 1
chapter 1
character 1
charge 1
charged 1
charmed 1
charter 2
chase 1
chester 2
child 1
chosen 1
civil 2
claimed 1
claims 1
class 1
clearing 1
clothes 1
clues 1
cobbold 1
coffin 3
coif 1
come 1
comforts 1
coming 1
commit 1
compatriots 1
complains 1
concerned 1
concludes 1
conduct 1
confesses 1
confirming 1
confront 1
confrontation 1
consciousness 1
considered 1
considers 2
contains 1
contents 2
continue 1
continues 1
continuing 1
convent 1
convince 1
corbire 24
correct 1
corviser 4
cost 1
cotte 1
could 1
country 1
crime 1
crown 2
dagger 2
dark 1
daughter 1
day 1
days 1
dead 1
deal 1
death 3
debate 1
decides 1
decision 1
deduces 1
defence 1
defended 1
delegation 1
deliver 1
delivered 1
demands 1
desires 1
destroy 1
destroyed 1
details 1
did 4
discovered 1
discovery 1
discuss 1
discussing 1
dismisses 1
distressed 1
do 1
does 1
doing 2
donates 1
done 1
door 4
doorslowly 1
dousing 1
down 1
dragging 1
drank 1
dressed 1
drink 1
drunken 2
during 1
earl 5
earldom 1
early 1
earned 1
emma 34
employ 1
empress 4
empty 1
end 1
endangered 1
ends 1
england 3
english 2
ensuring 1
error 1
escape 2
escorting 1
established 1
establishing 1
euan 12
even 1
evening 3
events 2
everyone 1
evidence 2
ewald 11
exact 1
exchange 1
expensive 1
faces 1
failed 1
failing 1
fails 1
fair 8
falls 1
far 1
fatal 1
father 1
fears 1
feast 1
feeling 1
feelings 1
feigning 1
fifty 1
figured 1
find 1
finding 2
finds 1
fire 6
first 3
flagon 1
fled 1
flee 1
floor 1
followed 2
fool 1
for 22
force 1
foregate 1
found 4
four 1
fowler 1
free 1
friends 2
from 12
front 1
full 1
further 2
future 1
gagged 1
gave 2
geoffrey 1
give 2
gloucester 4
glover 3
gloves 2
gone 1
good 4
goods 1
granted 1
great 1
groom 1
guilds 1
had 5
hair 3
half 1
hand 3
hanging 1
happened 1
hard 1
has 15
have 7
he 36
hearing 4
hears 1
heavy 1
her 34
herself 2
hides 1
him 13
himself 2
his 34
home 2
honest 2
hopes 1
horrified 1
horse 2
hours 1
how 1
hugh 15
identified 1
if 3
ignorant 1
immediately 1
important 3
in 38
inadvertently 1
ineffective 1
informs 1
injured 1
injuries 2
innocence 1
innocent 1
inside 1
instantly 1
instead 2
intelligencer 1
intended 1
intends 1
interrupted 2
into 4
invaded 1
investigate 1
investigates 1
involving 1
is 38
issued 1
it 11
item 2
items 1
ivo 6
jewels 1
judgment 1
july 1
jumps 1
june 1
just 2
justice 2
justifies 1
keep 1
keeps 1
key 1
killed 4
killer 1
killing 2
king 2
knew 1
knife 1
knocks 2
knows 3
lack 1
large 1
last 1
later 3
lead 1
learn 1
