17684640
/m/047tq76
/m/047tq76
Ryunosuke Akutagawa
1919-05
{"/m/0707q": "Short story"}
a 6
actually 1
affect 1
afterwards 1
and 3
area 1
around 2
as 1
ascend 1
ascending 1
at 1
attracting 1
aunt 1
believe 2
believes 1
both 1
by 1
claim 1
crowd 1
dark 1
darkens 1
day 1
dragon 3
ein 6
eins 1
ends 1
erects 1
even 1
eventually 1
everyone 1
faithfully 1
flew 1
from 2
gathered 1
heaven 1
his 4
home 1
however 1
ignorance 1
immediate 1
in 1
including 2
influential 1
instigator 1
intended 1
joke 3
lake 1
lords 1
many 2
marvels 1
miles 1
monk 1
month 1
next 1
no 1
numberless 1
of 2
on 1
one 1
only 1
played 1
pond 3
powerful 1
practical 2
reading 1
revolves 1
sarusawa 1
scoffs 1
see 1
sign 3
sky 2
story 1
superstitious 1
that 1
the 14
their 1
they 1
third 2
this 1
those 1
though 1
to 3
towards 2
turnout 1
up 1
was 1
watches 1
will 2
