26974075
/m/0bs4k05
/m/0bs4k05
Diana Gabaldon
2010
{"/m/0l67h": "Novella", "/m/0hwxm": "Historical novel"}
175 1
78th 1
a 11
abraham 1
accusing 1
after 3
along 1
america 1
an 5
and 10
annual 1
arrangements 1
arrest 1
artillery 1
as 2
assistance 1
available 1
awaiting 1
baby 1
back 2
battle 3
be 1
been 2
before 1
behavior 1
being 1
blade 1
both 3
breakfast 1
briefly 1
brotherhood 1
but 3
by 1
canada 1
cannon 2
capt 2
carries 1
catholic 1
charlie 2
child 2
cinnamon 1
cliffs 2
colonel 1
companion 1
compromising 1
confront 1
considering 1
considers 1
court 2
cousin 1
crews 1
critically 1
currently 2
daring 1
dead 1
demand 1
departs 1
disability 1
discovers 1
dishonorable 1
do 1
due 1
duel 2
during 3
england 1
events 1
evils 1
experience 1
failing 1
find 1
finds 1
fishing 1
for 3
forces 1
former 1
fought 1
fraser 1
french 1
friend 2
from 2
general 2
grandmother 1
grey 10
guide 1
has 2
have 1
he 5
health 1
herself 1
highlanders 2
him 5
his 7
honor 1
hours 1
house 1
however 1
illegitimate 2
in 10
indian 1
infant 1
injured 1
invites 1
is 10
john 3
joins 1
killed 1
killing 1
lady 2
landing 1
later 1
latter 1
lawrence 1
least 1
leaving 1
leg 1
letters 1
life 1
living 1
lord 2
louisbourg 1
lover 1
lt 1
malcolm 1
manoke 1
marriage 1
martial 1
martialled 1
meanwhile 1
medics 1
mission 1
month 1
morning 1
mother 1
murder 1
must 1
naming 1
nighttime 1
north 1
not 3
objects 1
occurred 1
of 14
officer 3
omething 1
on 3
ongoing 1
orphanage 1
other 2
over 1
participant 1
participate 1
passes 1
place 1
plains 1
plea 1
presented 2
promotion 1
quebec 2
questionable 1
refrains 1
represent 1
result 1
return 1
returned 1
returns 1
river 1
satisfaction 1
saves 1
scaling 1
scheduled 1
scouting 1
sells 1
sentries 1
september 1
series 1
shipped 1
siege 2
smallpox 1
son 1
st 1
stay 1
steep 1
stipend 1
stubbs 7
summons 1
takes 2
that 2
the 30
their 1
three 1
through 1
time 1
to 13
trip 1
unable 1
under 1
up 1
upon 1
violently 1
wait 1
was 1
well 1
which 3
who 2
whom 1
with 10
wolfe 3
yet 1
