2649360
/m/07v9bg
/m/07v9bg
Howard Pyle

{"/m/02p0szs": "Historical fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/08sdrw": "Adventure novel"}
1400 1
1408 1
1411 1
1412 1
16 1
3 1
a 26
abdication 1
about 3
academic 1
accession 2
accompany 1
action 1
actions 1
actually 1
advise 1
advised 1
advises 1
after 4
against 2
age 1
ailing 1
alban 6
alice 3
all 1
almost 1
also 1
among 1
an 2
and 21
anne 2
another 1
are 3
area 1
as 9
at 1
attainted 2
bachelor 1
bachelors 4
ball 1
bath 1
battle 2
bdl 1
be 1
beaumont 1
became 1
been 4
before 2
begins 2
being 2
blinded 1
blunt 4
bowman 3
brookhurst 1
brother 1
brought 1
brutally 1
brutus 1
bushy 1
but 3
by 14
called 2
can 1
castle 5
champion 3
child 1
chivalrous 1
chivalry 1
chosen 1
city 1
climbs 1
combat 3
compte 1
concerning 1
conquering 1
consider 1
conspirator 1
costs 1
councilor 1
countess 1
country 1
court 1
cousin 1
created 1
crosbeydale 1
dale 2
dangerous 1
daughter 1
dauphin 1
de 2
decision 1
defeating 1
defended 1
derby 1
derbyshire 1
devlen 2
diccon 3
discovered 1
discreet 1
do 1
done 1
down 1
during 1
earl 13
edward 2
eighteen 1
elderly 1
eligible 1
end 2
ended 1
enemy 2
england 3
enrolled 1
escapes 1
established 2
estates 2
exists 1
exonerate 1
exploits 1
eyry 1
facilitate 1
fair 1
fairly 1
falworth 10
family 1
father 5
fellowship 1
few 1
fictional 1
field 1
fight 1
fights 1
find 1
following 1
for 7
forbidden 1
forced 1
formed 1
fortunes 1
france 1
francis 5
french 3
friend 3
friends 1
from 1
further 1
garden 1
gascoyne 3
gauntlet 1
gentlemaninwaiting 1
george 1
gilbert 1
girls 1
giving 1
go 1
good 1
gravely 1
grievances 1
had 6
hall 1
have 2
hawk 1
he 9
head 1
headsquires 1
henry 6
her 2
hideout 1
hiding 1
hierarchy 1
high 1
him 8
himself 2
his 24
home 1
household 2
ii 1
in 21
initiating 1
into 4
is 18
it 1
iv 1
james 3
january 1
john 2
join 1
joust 1
jousting 1
just 1
justice 1
justly 1
killing 1
king 8
kinsman 1
knight 3
knighted 1
knights 3
known 1
kris 1
la 1
lads 1
lady 3
language 1
last 1
later 3
learns 1
led 1
lee 2
legality 1
life 1
lived 1
lives 1
london 2
longer 1
lord 5
mackworth 11
made 1
make 1
makes 1
man 1
maneuvers 1
marries 1
mary 1
matter 1
matters 1
may 1
meet 1
meets 1
men 1
mentioned 1
met 1
military 1
montaigne 1
months 2
more 1
most 1
mother 1
movement 1
myles 28
near 1
nest 1
niece 1
no 1
novel 3
of 33
old 2
older 1
oldest 1
on 3
opponent 1
oppose 2
order 2
other 2
over 2
parents 2
part 1
pecking 1
performs 1
physical 1
plan 1
play 1
possible 1
presented 1
prevails 1
prince 1
prior 2
priory 1
privy 1
proceedings 1
promote 1
pronounced 1
protecting 1
protection 1
punished 1
puts 1
quarter 1
reader 2
recalled 1
refuses 1
reginald 1
remembers 1
render 1
resist 1
restore 1
retrieving 1
richard 2
ride 1
rose 2
routine 1
royal 1
seat 1
second 1
secured 1
sees 1
seize 1
september 1
serve 1
service 1
set 1
seven 1
severely 1
shows 1
sieur 1
since 1
sir 13
six 1
skirmish 1
so 1
son 2
squire 3
squires 2
st 1
stop 1
story 1
strongly 1
struggle 1
succeeding 1
succeeds 1
suspends 1
taken 1
taller 1
teaches 1
tell 1
than 3
that 4
the 71
their 3
them 2
there 2
these 1
they 3
this 6
three 1
throne 1
throws 1
time 2
times 2
to 29
told 1
took 1
top 1
tower 1
training 2
traitor 1
transferred 1
tresspassing 1
trial 3
twenty 1
two 3
under 1
undertakes 1
unhorsing 1
unknown 1
until 1
used 2
v 1
venturing 1
vermoise 1
visit 1
wales 1
wall 2
walter 3
was 1
way 1
what 1
when 2
where 2
which 3
who 3
whom 1
wife 2
william 1
win 1
windmill 1
with 9
wounded 1
wrestler 1
write 1
year 1
years 2
young 3
younger 1
