18934264
/m/04jfgz5
/m/04jfgz5
Clive Cussler
2008
{"/m/08sdrw": "Adventure novel"}
1847 1
a 6
al 1
all 1
an 2
and 3
arctic 1
are 6
asphyxiations 1
becomes 1
begins 1
boats 1
by 1
centuries 1
children 1
day 1
dirk 3
earth 2
efforts 1
erebus 1
expedition 1
experience 1
find 2
for 2
forgotten 1
franklin 1
from 1
giordino 1
global 2
going 1
harsh 1
headed 1
heart 1
hidden 1
in 3
investigate 1
is 2
junior 1
leads 1
loaded 1
looking 2
mad 1
men 1
metal 1
mysterious 2
mystery 1
need 1
northwest 1
numa 1
of 3
old 2
ongoing 1
passage 1
people 1
pitt 2
plot 1
present 1
quest 2
realize 1
save 2
scientists 1
seemingly 1
series 1
ship 1
silvery 1
solution 2
solve 1
some 1
soon 1
stop 1
story 1
stranded 2
summer 1
switches 1
team 1
terror 1
that 1
the 14
their 2
them 1
there 1
these 1
they 4
thwart 1
to 9
trying 3
unidentified 1
warming 2
way 1
when 1
will 1
winter 1
with 1
world 1
year 1
