1616728
/m/05gzqc
/m/05gzqc
Mary Kirchoff
1989-11-30
a 15
adventures 1
after 1
all 2
also 1
amulet 1
an 2
and 8
arrive 1
arrives 1
assassin 1
assistant 1
at 1
attempt 1
attempts 1
been 1
before 1
begins 1
being 1
bounty 2
burrfoot 1
but 2
by 3
candyland 1
captured 1
character 1
charges 1
city 2
closes 1
curick 1
damaris 4
dark 1
denzil 4
desertion 1
discover 1
doctor 1
dr 1
dwarven 1
dwarves 1
east 2
enter 1
entertained 1
exhibit 1
find 1
for 2
forces 1
found 1
friends 1
from 2
gelfigburg 3
gisella 3
gnomes 1
go 1
good 1
gully 1
has 1
have 1
having 1
he 1
help 1
him 6
his 2
home 1
however 1
human 2
hunter 2
in 5
inn 1
inside 1
intended 1
into 4
is 7
journey 1
kender 4
kendermore 3
killed 1
knowing 1
last 1
laws 1
leading 2
leaving 1
like 1
magical 2
mammoth 1
map 1
marriage 1
marries 1
marry 1
meanwhile 1
near 1
not 1
novel 1
of 6
ogre 1
one 1
out 2
own 1
phineas 2
place 1
portal 4
prearranged 1
pull 1
pulls 2
queen 1
rare 1
return 1
reunified 1
ruins 2
saves 1
saving 1
seek 1
settlement 1
shipwreck 1
soon 1
storm 1
strands 1
stuck 1
take 1
takes 1
tas 10
tasslehoff 2
that 1
the 21
them 1
themselves 1
they 1
this 1
through 2
to 11
trapped 1
trapspringer 4
treasure 2
tries 1
tug 1
turn 1
turns 1
uncle 2
up 1
used 1
vincent 2
violating 1
voyage 1
wander 1
war 1
way 1
which 1
who 2
winnie 1
with 5
woodrow 4
wooly 1
