1277518
/m/04phwp
/m/04phwp
Raymond Benson
1999-05-06
{"/m/02n4kr": "Mystery", "/m/06wkf": "Spy fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
17 6
a 9
after 2
agent 1
almost 1
also 1
an 1
and 11
are 1
as 4
assassin 2
at 1
atop 1
attending 1
away 1
baack 2
bahamas 2
base 2
basil 1
battling 1
be 2
beaches 1
been 3
before 3
belgium 2
blackmail 1
blind 1
body 1
bodyguard 1
bond 16
book 1
brighton 1
british 3
brutal 1
buckinghamshire 1
but 2
by 4
called 1
camp 2
can 3
catches 1
cheated 1
chinese 4
climaxes 1
codenamed 1
collaborated 1
commences 1
commits 1
containing 1
crashed 1
cross 1
danger 1
deadly 1
death 1
debt 1
deduces 1
delhi 1
demands 1
destroy 1
detail 1
dinner 1
disguises 1
doublecross 2
due 1
earlier 1
early 1
elevation 1
employ 1
england 1
event 1
everyone 1
exagent 1
executed 1
expedition 1
expeditions 1
faked 1
family 1
feels 1
fight 1
for 1
forcing 1
foreign 1
former 1
formula 1
from 1
gambling 1
gerrant 1
gibraltar 1
girlfriend 2
governor 3
guards 1
had 2
hampshireengland 1
harding 7
has 5
having 2
he 4
helena 2
her 2
herself 1
hidden 1
high 1
hijacked 1
him 1
himalayas 1
himself 1
his 2
hope 4
host 2
however 4
immediately 1
implanted 1
in 4
include 1
india 1
infiltrated 1
intelligence 1
interrogated 1
into 1
introduced 1
is 9
it 5
james 2
just 2
kangchenjunga 2
kendal 1
kill 1
killed 2
killing 1
kills 2
later 1
latter 1
le 1
lead 1
leader 1
locations 1
london 1
long 1
man 2
manage 1
marquis 6
member 1
mi6 1
microdot 1
microfilm 2
morocco 1
mortally 1
mountaineer 1
mt 1
much 1
narrowly 1
nepal 2
not 2
nowestranged 1
of 14
officer 1
old 1
on 3
one 2
organization 1
out 2
oxygen 1
pacemaker 2
pacemakers 1
party 1
paul 1
pay 1
peak 1
physical 1
place 1
plane 2
planned 1
planning 1
power 1
race 2
raf 1
reach 1
realize 1
realizes 1
receive 1
recover 2
refused 1
rest 1
return 1
returned 1
reveals 1
rival 1
roland 2
ruthless 1
save 1
schoolboydays 1
scientist 1
secret 1
security 1
sell 2
sent 1
sexy 1
she 1
since 1
skin 6
slashing 1
slip 1
so 2
steal 1
steven 1
stolen 1
successfully 1
suicide 1
surgically 1
takes 1
team 2
terrorist 1
that 5
the 44
them 1
there 1
they 3
those 1
though 1
threats 1
throat 1
thrown 1
to 19
top 1
tracks 2
trademark 1
trades 1
traitors 1
turns 2
two 1
unhealthy 1
union 8
up 2
violence 1
washes 1
were 1
where 1
while 2
who 3
whose 1
with 3
withdraw 1
world 1
wounded 1
