5199081
/m/0d7fy7
/m/0d7fy7
Michael Moorcock

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 8
able 1
about 1
across 1
act 1
advice 2
advise 1
after 1
again 2
against 1
aided 1
also 1
an 2
and 9
another 2
appears 1
are 1
as 1
ascetic 1
awake 1
battle 1
bears 1
because 1
becomes 1
been 2
begin 1
begins 2
bell 2
belphig 6
bishop 1
black 4
bladrak 2
blood 2
body 2
by 4
chalice 7
champion 1
chariot 1
cold 3
commands 1
concluded 1
consult 1
contains 1
counter 1
dead 1
debauched 1
desperate 1
dreaming 1
dreams 2
driven 1
driving 1
during 1
encounters 1
ended 1
engaged 1
entity 1
erekos 2
erekose 1
eternal 2
events 1
eventually 1
fears 1
fearsome 1
finally 1
finds 1
fjord 3
for 4
forced 1
found 1
free 1
from 3
go 1
greatly 1
habitation 1
has 2
have 2
he 10
held 1
her 1
him 5
himself 1
his 2
holds 1
hostage 2
human 1
humanity 1
humans 1
hunt 2
hunters 1
ice 2
in 6
instinctively 1
into 2
invites 1
is 8
island 1
it 1
its 3
killed 2
killing 1
kills 1
lady 4
lair 1
learns 3
led 1
left 1
legend 1
life 1
lord 1
many 1
meets 1
moon 1
more 1
mysterious 1
nature 1
obsidian 1
of 13
on 5
orders 1
out 2
party 2
peace 1
phoenix 1
places 1
polar 1
pours 1
prisoners 1
pulled 1
queen 4
quest 1
raid 1
remotely 1
renew 1
renewing 1
rescue 2
rescued 1
rescues 1
return 1
reveals 1
ringing 1
rowernarc 1
scarlet 3
screaming 2
seastag 2
see 1
seek 1
settlement 1
shanosfane 3
she 4
sheet 1
siege 1
silver 5
situation 1
skarsol 1
slave 1
so 1
soon 1
stag 1
stormbringer 1
story 1
struggle 1
succeeds 1
suddenly 1
summoned 1
summons 2
sun 3
sword 8
take 3
taken 1
tanelorn 1
tells 3
that 11
the 54
their 2
them 4
then 4
there 1
they 6
though 1
to 10
tolls 1
tormented 1
trade 1
transported 1
trip 1
turn 1
two 1
under 1
understands 1
up 2
urlik 8
vanishes 1
voice 1
war 1
warriors 3
was 4
when 2
which 1
while 2
who 3
wholesome 1
with 2
